"subject","gender","age","avatar","avatarIsCat"
"B544","Female",36,"cat",TRUE
"B570","Female",36,"cat",TRUE
"B702","Female",36,"cat",TRUE
"C1007","Female",36,"cat",TRUE
"C1035","Female",36,"cat",TRUE
"C827","Female",36,"cat",TRUE
"C835","Female",36,"cat",TRUE
"C940","Female",36,"cat",TRUE
"D1260","Female",36,"cat",TRUE
"D1428","Female",36,"cat",TRUE
"E1535","Female",36,"cat",TRUE
"E1636","Female",36,"cat",TRUE
"E1661","Female",36,"cat",TRUE
"E1754","Female",36,"cat",TRUE
"E1828","Female",36,"cat",TRUE
"A211","Male",36,"cat",TRUE
"A284","Male",36,"cat",TRUE
"B407","Male",36,"cat",TRUE
"B479","Male",36,"cat",TRUE
"B537","Male",36,"cat",TRUE
"C1089","Male",36,"cat",TRUE
"C1101","Male",36,"cat",TRUE
"C797","Male",36,"cat",TRUE
"C861","Male",36,"cat",TRUE
"D1252","Male",36,"cat",TRUE
"D1264","Male",36,"cat",TRUE
"D1266","Male",36,"cat",TRUE
"D1408","Male",36,"cat",TRUE
"D1429","Male",36,"cat",TRUE
"E1611","Male",36,"cat",TRUE
"A160","Female",37,"cat",TRUE
"A245","Female",37,"cat",TRUE
"A31","Female",37,"cat",TRUE
"B542","Female",37,"cat",TRUE
"B559","Female",37,"cat",TRUE
"B687","Female",37,"cat",TRUE
"C1113","Female",37,"cat",TRUE
"C787","Female",37,"cat",TRUE
"C875","Female",37,"cat",TRUE
"C888","Female",37,"cat",TRUE
"D1256","Female",37,"cat",TRUE
"D1328","Female",37,"cat",TRUE
"D1366","Female",37,"cat",TRUE
"D1386","Female",37,"cat",TRUE
"D1461","Female",37,"cat",TRUE
"E1600","Female",37,"cat",TRUE
"E1790","Female",37,"cat",TRUE
"A208","Male",37,"cat",TRUE
"A333","Male",37,"cat",TRUE
"A65","Male",37,"cat",TRUE
"B404","Male",37,"cat",TRUE
"B693","Male",37,"cat",TRUE
"C1087","Male",37,"cat",TRUE
"C952","Male",37,"cat",TRUE
"D1295","Male",37,"cat",TRUE
"E1552","Male",37,"cat",TRUE
"A192","Female",38,"cat",TRUE
"A198","Female",38,"cat",TRUE
"A246","Female",38,"cat",TRUE
"A341","Female",38,"cat",TRUE
"A36","Female",38,"cat",TRUE
"B429","Female",38,"cat",TRUE
"B477","Female",38,"cat",TRUE
"C1060","Female",38,"cat",TRUE
