"participant","trialNumber","cue","correct","inTraining","correctAnswer","interlocutor","promptImage","promptName","targetImage","targetWord1","targetWord2","selection","partic.gender","phase","partic.age"
"s1002",8,"spatial",FALSE,FALSE,"falwan","female","pitcher_large","fal","pitcher_dimin","falwan","falrul","falrul","Female","test",54
"s1002",9,"spatial",TRUE,TRUE,"taswan","male","gate_large","tas","gate_dimin","taswan","tasrul","taswan","Female","test",54
"s1002",10,"spatial",FALSE,TRUE,"toswan","female","chair_large","tos","chair_dimin","toswan","tosrul","tosrul","Female","test",54
"s1002",11,"spatial",FALSE,FALSE,"fekwan","male","bokchoy_large","fek","bokchoy_dimin","fekwan","fekrul","fekrul","Female","test",54
"s1002",12,"spatial",FALSE,TRUE,"tolwan","female","bear_large_male","tol","bear_dimin","tolwan","tolrul","tolrul","Female","test",54
"s1002",13,"spatial",FALSE,TRUE,"taswan","female","gate_large","tas","gate_dimin","taswan","tasrul","tasrul","Female","test",54
"s1002",14,"spatial",FALSE,FALSE,"fekwan","female","bokchoy_large","fek","bokchoy_dimin","fekwan","fekrul","fekrul","Female","test",54
"s1002",15,"spatial",TRUE,TRUE,"fenrul","female_side","fox_large_male","fen","fox_dimin","fenwan","fenrul","fenrul","Female","test",54
"s1002",16,"spatial",FALSE,FALSE,"rilwan","female","bear_large_male","ril","bear_dimin","rilwan","rilrul","rilrul","Female","test",54
"s1002",17,"spatial",TRUE,TRUE,"tolrul","female_side","bear_large_male","tol","bear_dimin","tolwan","tolrul","tolrul","Female","test",54
"s1002",18,"spatial",FALSE,TRUE,"tosrul","male_side","chair_large","tos","chair_dimin","toswan","tosrul","toswan","Female","test",54
"s1002",19,"spatial",FALSE,TRUE,"tolrul","male_side","bear_large_male","tol","bear_dimin","tolwan","tolrul","tolwan","Female","test",54
"s1002",20,"spatial",TRUE,FALSE,"falrul","female_side","pitcher_large","fal","pitcher_dimin","falwan","falrul","falrul","Female","test",54
"s1002",21,"spatial",TRUE,FALSE,"wukwan","male","mushroom_large","wuk","mushroom_dimin","wukwan","wukrul","wukwan","Female","test",54
"s1002",22,"spatial",TRUE,TRUE,"pelrul","female_side","fox_large_male","pel","fox_dimin","pelwan","pelrul","pelrul","Female","test",54
"s1002",23,"spatial",TRUE,FALSE,"wunwan","male","chair_large","wun","chair_dimin","wunwan","wunrul","wunwan","Female","test",54
"s1002",24,"spatial",TRUE,FALSE,"rilrul","female_side","bear_large_male","ril","bear_dimin","rilwan","rilrul","rilrul","Female","test",54
"s1002",25,"spatial",TRUE,TRUE,"pelwan","male","fox_large_male","pel","fox_dimin","pelwan","pelrul","pelwan","Female","test",54
"s1002",26,"spatial",FALSE,FALSE,"wunrul","male_side","chair_large","wun","chair_dimin","wunwan","wunrul","wunwan","Female","test",54
