"participant","peerCondition","regLevel","verbStatus","phase","gender","age","attentionRating","otherPlayerReasonable","postReg.mean","verbStatus2"
"p408","bot","low","REAL","postTest","Male",29,4,4,0.5,"REAL"
"p409","bot","low","REAL","postTest","Female",59,5,5,0.35,"REAL"
"p41","human","high","REAL","postTest","Male",28,4,3,0.9,"REAL"
"p410","bot","high","REAL","postTest","Female",25,4,4,0.4,"REAL"
"p411","bot","low","REAL","postTest","Male",22,4,3,0.35,"REAL"
"p412","bot","low","REAL","postTest","Male",35,4,4,0.45,"REAL"
"p413","bot","high","REAL","postTest","Male",24,4,4,0.35,"REAL"
"p414","bot","low","REAL","postTest","Female",21,3,4,0.05,"REAL"
"p416","bot","low","REAL","postTest","Male",33,4,3,0.4,"REAL"
"p418","bot","high","REAL","postTest","Male",47,4,2,0.35,"REAL"
"p419","bot","high","REAL","postTest","Male",30,3,5,0.4,"REAL"
"p42","human","high","REAL","postTest","Male",30,5,5,0.3,"REAL"
"p420","bot","low","REAL","postTest","Female",35,4,5,0.3,"REAL"
"p421","bot","low","REAL","postTest","Male",28,5,4,0,"REAL"
"p422","bot","low","REAL","postTest","Female",39,4,4,0.55,"REAL"
"p423","bot","high","REAL","postTest","Female",51,4,4,0.45,"REAL"
"p424","bot","low","REAL","postTest","Male",28,5,4,0.35,"REAL"
"p425","bot","low","REAL","postTest","Male",30,4,5,0.3,"REAL"
"p426","bot","high","REAL","postTest","Female",30,5,5,0.6,"REAL"
"p427","bot","high","REAL","postTest","Female",43,4,4,0.6,"REAL"
"p428","bot","low","REAL","postTest","Male",35,3,3,0.2,"REAL"
"p429","bot","low","REAL","postTest","Male",26,4,4,0.1,"REAL"
"p43","human","high","REAL","postTest","Male",44,4,5,0.4,"REAL"
"p430","bot","high","REAL","postTest","Female",24,4,5,0.3,"REAL"
"p431","bot","high","REAL","postTest","Female",31,3,5,0.45,"REAL"
"p432","bot","high","REAL","postTest","Male",33,4,4,0.5,"REAL"
"p433","bot","low","REAL","postTest","Male",23,4,4,0.45,"REAL"
