"subject","trialNumber","condition","correct","inTraining","correctAnswer","interlocutor","promptImage","promptName","targetImage","targetWord1","targetWord2","selection","subject.gender","subject.age","phase"
"s1002",25,"nonsocial",TRUE,TRUE,"pelwan","male","fox_large_male","pel","fox_dimin","pelwan","pelrul","pelwan","Female",55,"test"
"s1002",26,"nonsocial",FALSE,FALSE,"wunrul","male_side","chair_large","wun","chair_dimin","wunwan","wunrul","wunwan","Female",55,"test"
"s1002",27,"nonsocial",FALSE,TRUE,"rikwan","female","candleholder_large","rik","candleholder_dimin","rikwan","rikrul","rikrul","Female",55,"test"
"s1002",28,"nonsocial",FALSE,TRUE,"fenrul","male_side","fox_large_male","fen","fox_dimin","fenwan","fenrul","fenwan","Female",55,"test"
"s1002",29,"nonsocial",FALSE,TRUE,"pelrul","male_side","fox_large_male","pel","fox_dimin","pelwan","pelrul","pelwan","Female",55,"test"
"s1002",30,"nonsocial",FALSE,TRUE,"pelwan","female","fox_large_male","pel","fox_dimin","pelwan","pelrul","pelrul","Female",55,"test"
"s1002",31,"nonsocial",TRUE,TRUE,"rikrul","female_side","candleholder_large","rik","candleholder_dimin","rikwan","rikrul","rikrul","Female",55,"test"
"s1002",32,"nonsocial",TRUE,FALSE,"rilwan","male","bear_large_male","ril","bear_dimin","rilwan","rilrul","rilwan","Female",55,"test"
"s1002",33,"nonsocial",TRUE,FALSE,"fekrul","female_side","bokchoy_large","fek","bokchoy_dimin","fekwan","fekrul","fekrul","Female",55,"test"
"s1002",34,"nonsocial",FALSE,TRUE,"tasrul","male_side","gate_large","tas","gate_dimin","taswan","tasrul","taswan","Female",55,"test"
"s1002",35,"nonsocial",TRUE,TRUE,"tasrul","female_side","gate_large","tas","gate_dimin","taswan","tasrul","tasrul","Female",55,"test"
"s1002",36,"nonsocial",FALSE,FALSE,"fisrul","male_side","bokchoy_large","fis","bokchoy_dimin","fiswan","fisrul","fiswan","Female",55,"test"
"s1002",37,"nonsocial",FALSE,TRUE,"fenwan","female","fox_large_male","fen","fox_dimin","fenwan","fenrul","fenrul","Female",55,"test"
"s1002",38,"nonsocial",TRUE,FALSE,"wukrul","female_side","mushroom_large","wuk","mushroom_dimin","wukwan","wukrul","wukrul","Female",55,"test"
"s1002",39,"nonsocial",FALSE,FALSE,"wukrul","male_side","mushroom_large","wuk","mushroom_dimin","wukwan","wukrul","wukwan","Female",55,"test"
"s1002",40,"nonsocial",FALSE,FALSE,"falrul","male_side","pitcher_large","fal","pitcher_dimin","falwan","falrul","falwan","Female",55,"test"
