"gender"	"yearOfBirth"	"phase"	"weak.past"	"strong.past"	"category"	"sensibility"	"partnerRegRate"	"partnerRegCondition"	"item.reg.mean"	"response"	"regular"	"participant"	"age"
"Female"	1958	"posttest"	"strinked"	"strank"	"sang"	"sensible"	0.654	"no.change"	0.416	"strank"	FALSE	"s6023"	56
"Female"	1958	"posttest"	"cheemed"	"chemt"	"kept"	"sensible"	0.654	"no.change"	0.733	"chemt"	FALSE	"s6023"	56
"Female"	1983	"pretest"	"snited"	"snote"	"drove"	"sensible"	0.481	"no.change"	0.53	"snited"	TRUE	"s6024"	31
"Female"	1983	"pretest"	"drelled"	"drelt"	"burnt"	"sensible"	0.481	"no.change"	0.653	"drelt"	FALSE	"s6024"	31
"Female"	1983	"pretest"	"sleeled"	"slelt"	"kept"	"sensible"	0.481	"no.change"	0.55	"slelt"	FALSE	"s6024"	31
"Female"	1983	"posttest"	"kleemed"	"klemt"	"kept"	"sensible"	0.481	"no.change"	0.653	"kleemed"	TRUE	"s6024"	31
"Female"	1983	"pretest"	"shrided"	"shrode"	"drove"	"sensible"	0.481	"no.change"	0.376	"shrode"	FALSE	"s6024"	31
"Female"	1983	"pretest"	"neened"	"nent"	"kept"	"sensible"	0.481	"no.change"	0.663	"nent"	FALSE	"s6024"	31
"Female"	1983	"pretest"	"cheemed"	"chemt"	"kept"	"sensible"	0.481	"no.change"	0.733	"chemt"	FALSE	"s6024"	31
"Female"	1983	"posttest"	"strimmed"	"stram"	"sang"	"sensible"	0.481	"no.change"	0.619	"stram"	FALSE	"s6024"	31
"Female"	1983	"pretest"	"snined"	"snone"	"drove"	"sensible"	0.481	"no.change"	0.644	"snined"	TRUE	"s6024"	31
"Female"	1983	"posttest"	"spinged"	"spang"	"sang"	"sensible"	0.481	"no.change"	0.401	"spinged"	TRUE	"s6024"	31
"Female"	1983	"pretest"	"snurned"	"snurnt"	"burnt"	"sensible"	0.481	"no.change"	0.757	"snurnt"	FALSE	"s6024"	31
"Female"	1983	"pretest"	"schmimmed"	"schmam"	"sang"	"sensible"	0.481	"no.change"	0.634	"schmimmed"	TRUE	"s6024"	31
"Female"	1983	"posttest"	"blurned"	"blurnt"	"burnt"	"sensible"	0.481	"no.change"	0.639	"blurned"	TRUE	"s6024"	31
"Female"	1983	"pretest"	"klided"	"klode"	"drove"	"sensible"	0.481	"no.change"	0.495	"klided"	TRUE	"s6024"	31
"Female"	1983	"pretest"	"surned"	"surnt"	"burnt"	"sensible"	0.481	"no.change"	0.698	"surned"	TRUE	"s6024"	31
"Female"	1983	"posttest"	"glilled"	"glilt"	"burnt"	"sensible"	0.481	"no.change"	0.673	"glilt"	FALSE	"s6024"	31
"Female"	1983	"pretest"	"skrinked"	"skrank"	"sang"	"sensible"	0.481	"no.change"	0.45	"skrinked"	TRUE	"s6024"	31
