"gender","yearOfBirth","phase","weak.past","strong.past","category","sensibility","partnerRegRate","partnerRegCondition","item.reg.mean","response","regular","participant"
"Male",1985,"pretest","breeped","brept","kept","sensible",0.269,"decrease",0.55,"brept",FALSE,"s6111"
"Male",1985,"pretest","swided","swode","drove","sensible",0.269,"decrease",0.356,"swided",TRUE,"s6111"
"Male",1985,"pretest","kreened","krent","kept","sensible",0.269,"decrease",0.683,"kreened",TRUE,"s6111"
"Male",1985,"pretest","theeled","thelt","kept","sensible",0.269,"decrease",0.495,"thelt",FALSE,"s6111"
"Male",1985,"pretest","strimmed","stram","sang","sensible",0.269,"decrease",0.619,"stram",FALSE,"s6111"
"Male",1985,"pretest","glinked","glank","sang","sensible",0.269,"decrease",0.609,"glinked",TRUE,"s6111"
"Male",1985,"pretest","blurned","blurnt","burnt","sensible",0.269,"decrease",0.639,"blurned",TRUE,"s6111"
"Male",1985,"pretest","swurned","swurnt","burnt","sensible",0.269,"decrease",0.723,"swurned",TRUE,"s6111"
"Male",1985,"posttest","dwided","dwode","drove","sensible",0.269,"decrease",0.416,"dwode",FALSE,"s6111"
"Male",1985,"pretest","twited","twote","drove","sensible",0.269,"decrease",0.446,"twited",TRUE,"s6111"
"Male",1985,"pretest","skeened","skent","kept","sensible",0.269,"decrease",0.688,"skent",FALSE,"s6111"
"Male",1985,"pretest","chited","chote","drove","sensible",0.269,"decrease",0.579,"chited",TRUE,"s6111"
"Male",1985,"pretest","trinked","trank","sang","sensible",0.269,"decrease",0.49,"trinked",TRUE,"s6111"
"Male",1985,"pretest","squeened","squent","kept","sensible",0.269,"decrease",0.629,"squent",FALSE,"s6111"
"Male",1985,"posttest","twinked","twank","sang","sensible",0.269,"decrease",0.594,"twank",FALSE,"s6111"
"Male",1985,"posttest","drelled","drelt","burnt","sensible",0.269,"decrease",0.653,"drelt",FALSE,"s6111"
"Male",1985,"pretest","skinged","skang","sang","sensible",0.269,"decrease",0.52,"skang",FALSE,"s6111"
"Male",1985,"pretest","shreeped","shrept","kept","sensible",0.269,"decrease",0.46,"shrept",FALSE,"s6111"
"Male",1985,"posttest","strinked","strank","sang","sensible",0.269,"decrease",0.416,"strank",FALSE,"s6111"
"Male",1985,"pretest","zited","zote","drove","sensible",0.269,"decrease",0.54,"zote",FALSE,"s6111"
"Male",1985,"posttest","schmimmed","schmam","sang","sensible",0.269,"decrease",0.634,"schmimmed",TRUE,"s6111"
"Male",1985,"pretest","klited","klote","drove","sensible",0.269,"decrease",0.554,"klote",FALSE,"s6111"
"Male",1985,"posttest","glined","glone","drove","sensible",0.269,"decrease",0.619,"glined",TRUE,"s6111"
"Male",1985,"posttest","dreeped","drept","kept","sensible",0.269,"decrease",0.441,"drept",FALSE,"s6111"
"Male",1985,"posttest","klided","klode","drove","sensible",0.269,"decrease",0.495,"klode",FALSE,"s6111"
"Male",1985,"posttest","preemed","premt","kept","sensible",0.269,"decrease",0.678,"preemed",TRUE,"s6111"
"Male",1985,"posttest","neened","nent","kept","sensible",0.269,"decrease",0.663,"nent",FALSE,"s6111"
"Male",1985,"pretest","slurned","slurnt","burnt","sensible",0.269,"decrease",0.698,"slurned",TRUE,"s6111"
"Male",1985,"pretest","shinged","shang","sang","sensible",0.269,"decrease",0.45,"shang",FALSE,"s6111"
"Male",1985,"posttest","quinged","quang","sang","sensible",0.269,"decrease",0.53,"quang",FALSE,"s6111"
"Male",1985,"pretest","kleemed","klemt","kept","sensible",0.269,"decrease",0.653,"klemt",FALSE,"s6111"
"Male",1985,"posttest","beeved","bove","drove","sensible",0.269,"decrease",0.574,"bove",FALSE,"s6111"
