"subject"	"condition"	"correct"	"correctAnswer"	"subj.gender"	"interlocutor"	"phase"	"promptImage"	"promptName"	"selection"	"targetImage"	"targetWord1"	"targetWord2"	"subj.yob"	"subject.age"	"trialNumber"
"s1002"	"nonsocial"	FALSE	"rilrul"	"Female"	"male_side"	"test"	"bear_large_male"	"ril"	"rilwan"	"bear_dimin"	"rilwan"	"rilrul"	1959	55	7
"s1002"	"nonsocial"	FALSE	"falwan"	"Female"	"female"	"test"	"pitcher_large"	"fal"	"falrul"	"pitcher_dimin"	"falwan"	"falrul"	1959	55	8
"s1002"	"nonsocial"	TRUE	"taswan"	"Female"	"male"	"test"	"gate_large"	"tas"	"taswan"	"gate_dimin"	"taswan"	"tasrul"	1959	55	9
"s1002"	"nonsocial"	FALSE	"toswan"	"Female"	"female"	"test"	"chair_large"	"tos"	"tosrul"	"chair_dimin"	"toswan"	"tosrul"	1959	55	10
"s1002"	"nonsocial"	FALSE	"fekwan"	"Female"	"male"	"test"	"bokchoy_large"	"fek"	"fekrul"	"bokchoy_dimin"	"fekwan"	"fekrul"	1959	55	11
"s1002"	"nonsocial"	FALSE	"tolwan"	"Female"	"female"	"test"	"bear_large_male"	"tol"	"tolrul"	"bear_dimin"	"tolwan"	"tolrul"	1959	55	12
"s1002"	"nonsocial"	FALSE	"taswan"	"Female"	"female"	"test"	"gate_large"	"tas"	"tasrul"	"gate_dimin"	"taswan"	"tasrul"	1959	55	13
"s1002"	"nonsocial"	FALSE	"fekwan"	"Female"	"female"	"test"	"bokchoy_large"	"fek"	"fekrul"	"bokchoy_dimin"	"fekwan"	"fekrul"	1959	55	14
"s1002"	"nonsocial"	TRUE	"fenrul"	"Female"	"female_side"	"test"	"fox_large_male"	"fen"	"fenrul"	"fox_dimin"	"fenwan"	"fenrul"	1959	55	15
"s1002"	"nonsocial"	FALSE	"rilwan"	"Female"	"female"	"test"	"bear_large_male"	"ril"	"rilrul"	"bear_dimin"	"rilwan"	"rilrul"	1959	55	16
"s1002"	"nonsocial"	TRUE	"tolrul"	"Female"	"female_side"	"test"	"bear_large_male"	"tol"	"tolrul"	"bear_dimin"	"tolwan"	"tolrul"	1959	55	17
"s1002"	"nonsocial"	FALSE	"tosrul"	"Female"	"male_side"	"test"	"chair_large"	"tos"	"toswan"	"chair_dimin"	"toswan"	"tosrul"	1959	55	18
"s1002"	"nonsocial"	FALSE	"tolrul"	"Female"	"male_side"	"test"	"bear_large_male"	"tol"	"tolwan"	"bear_dimin"	"tolwan"	"tolrul"	1959	55	19
"s1002"	"nonsocial"	TRUE	"falrul"	"Female"	"female_side"	"test"	"pitcher_large"	"fal"	"falrul"	"pitcher_dimin"	"falwan"	"falrul"	1959	55	20
"s1002"	"nonsocial"	TRUE	"wukwan"	"Female"	"male"	"test"	"mushroom_large"	"wuk"	"wukwan"	"mushroom_dimin"	"wukwan"	"wukrul"	1959	55	21
"s1002"	"nonsocial"	TRUE	"pelrul"	"Female"	"female_side"	"test"	"fox_large_male"	"pel"	"pelrul"	"fox_dimin"	"pelwan"	"pelrul"	1959	55	22
"s1002"	"nonsocial"	TRUE	"wunwan"	"Female"	"male"	"test"	"chair_large"	"wun"	"wunwan"	"chair_dimin"	"wunwan"	"wunrul"	1959	55	23
"s1002"	"nonsocial"	TRUE	"rilrul"	"Female"	"female_side"	"test"	"bear_large_male"	"ril"	"rilrul"	"bear_dimin"	"rilwan"	"rilrul"	1959	55	24
"s1002"	"nonsocial"	TRUE	"pelwan"	"Female"	"male"	"test"	"fox_large_male"	"pel"	"pelwan"	"fox_dimin"	"pelwan"	"pelrul"	1959	55	25
"s1002"	"nonsocial"	FALSE	"wunrul"	"Female"	"male_side"	"test"	"chair_large"	"wun"	"wunwan"	"chair_dimin"	"wunwan"	"wunrul"	1959	55	26
"s1002"	"nonsocial"	FALSE	"rikwan"	"Female"	"female"	"test"	"candleholder_large"	"rik"	"rikrul"	"candleholder_dimin"	"rikwan"	"rikrul"	1959	55	27
"s1002"	"nonsocial"	FALSE	"fenrul"	"Female"	"male_side"	"test"	"fox_large_male"	"fen"	"fenwan"	"fox_dimin"	"fenwan"	"fenrul"	1959	55	28
"s1002"	"nonsocial"	FALSE	"pelrul"	"Female"	"male_side"	"test"	"fox_large_male"	"pel"	"pelwan"	"fox_dimin"	"pelwan"	"pelrul"	1959	55	29
"s1002"	"nonsocial"	FALSE	"pelwan"	"Female"	"female"	"test"	"fox_large_male"	"pel"	"pelrul"	"fox_dimin"	"pelwan"	"pelrul"	1959	55	30
"s1002"	"nonsocial"	TRUE	"rikrul"	"Female"	"female_side"	"test"	"candleholder_large"	"rik"	"rikrul"	"candleholder_dimin"	"rikwan"	"rikrul"	1959	55	31
"s1002"	"nonsocial"	TRUE	"rilwan"	"Female"	"male"	"test"	"bear_large_male"	"ril"	"rilwan"	"bear_dimin"	"rilwan"	"rilrul"	1959	55	32
"s1002"	"nonsocial"	TRUE	"fekrul"	"Female"	"female_side"	"test"	"bokchoy_large"	"fek"	"fekrul"	"bokchoy_dimin"	"fekwan"	"fekrul"	1959	55	33
"s1002"	"nonsocial"	FALSE	"tasrul"	"Female"	"male_side"	"test"	"gate_large"	"tas"	"taswan"	"gate_dimin"	"taswan"	"tasrul"	1959	55	34
"s1002"	"nonsocial"	TRUE	"tasrul"	"Female"	"female_side"	"test"	"gate_large"	"tas"	"tasrul"	"gate_dimin"	"taswan"	"tasrul"	1959	55	35
"s1002"	"nonsocial"	FALSE	"fisrul"	"Female"	"male_side"	"test"	"bokchoy_large"	"fis"	"fiswan"	"bokchoy_dimin"	"fiswan"	"fisrul"	1959	55	36
"s1002"	"nonsocial"	FALSE	"fenwan"	"Female"	"female"	"test"	"fox_large_male"	"fen"	"fenrul"	"fox_dimin"	"fenwan"	"fenrul"	1959	55	37
"s1002"	"nonsocial"	TRUE	"wukrul"	"Female"	"female_side"	"test"	"mushroom_large"	"wuk"	"wukrul"	"mushroom_dimin"	"wukwan"	"wukrul"	1959	55	38
"s1002"	"nonsocial"	FALSE	"wukrul"	"Female"	"male_side"	"test"	"mushroom_large"	"wuk"	"wukwan"	"mushroom_dimin"	"wukwan"	"wukrul"	1959	55	39
"s1002"	"nonsocial"	FALSE	"falrul"	"Female"	"male_side"	"test"	"pitcher_large"	"fal"	"falwan"	"pitcher_dimin"	"falwan"	"falrul"	1959	55	40
"s1002"	"nonsocial"	TRUE	"wunrul"	"Female"	"female_side"	"test"	"chair_large"	"wun"	"wunrul"	"chair_dimin"	"wunwan"	"wunrul"	1959	55	41
"s1002"	"nonsocial"	TRUE	"fenwan"	"Female"	"male"	"test"	"fox_large_male"	"fen"	"fenwan"	"fox_dimin"	"fenwan"	"fenrul"	1959	55	42
