"subject","trialNumber","condition","correct","correctAnswer","interlocutor","promptImage","promptName","targetImage","targetWord1","targetWord2","selection","subject.gender","subject.age","phase"
"s1385",42,"linguistic",FALSE,"fanpak","male","fox_large_male","fan","fox_dimin","fanpek","fanpak","fanpek","Male",36,"training"
"s1385",43,"linguistic",FALSE,"wekpek","female","fox_large_male","wek","fox_dimin","wekpek","wekpak","wekpak","Male",36,"training"
"s1385",44,"linguistic",TRUE,"fekpek","female_side","gate_large","fek","gate_dimin","fekpek","fekpak","fekpek","Male",36,"training"
"s1385",45,"linguistic",TRUE,"wekpek","female","fox_large_male","wek","fox_dimin","wekpek","wekpak","wekpek","Male",36,"training"
"s1385",46,"linguistic",TRUE,"fanpak","male","fox_large_male","fan","fox_dimin","fanpek","fanpak","fanpak","Male",36,"training"
"s1385",47,"linguistic",TRUE,"fekpek","female","gate_large","fek","gate_dimin","fekpek","fekpak","fekpek","Male",36,"training"
"s1385",48,"linguistic",TRUE,"fanpak","female_side","fox_large_male","fan","fox_dimin","fanpek","fanpak","fanpak","Male",36,"training"
"s1391",1,"linguistic",FALSE,"fanpak","male","chair_large","fan","chair_dimin","fanpek","fanpak","fanpek","Male",27,"training"
"s1391",2,"linguistic",TRUE,"fanpak","male","chair_large","fan","chair_dimin","fanpek","fanpak","fanpak","Male",27,"training"
"s1391",3,"linguistic",TRUE,"fanpak","female","chair_large","fan","chair_dimin","fanpek","fanpak","fanpak","Male",27,"training"
"s1391",4,"linguistic",TRUE,"tekpek","female_side","bokchoy_large","tek","bokchoy_dimin","tekpek","tekpak","tekpek","Male",27,"training"
"s1391",5,"linguistic",FALSE,"falpak","male_side","bokchoy_large","fal","bokchoy_dimin","falpek","falpak","falpek","Male",27,"training"
"s1391",6,"linguistic",FALSE,"tekpek","female_side","bokchoy_large","tek","bokchoy_dimin","tekpek","tekpak","tekpak","Male",27,"training"
"s1391",7,"linguistic",FALSE,"fanpak","female","chair_large","fan","chair_dimin","fanpek","fanpak","fanpek","Male",27,"training"
"s1391",8,"linguistic",FALSE,"fanpak","male","chair_large","fan","chair_dimin","fanpek","fanpak","fanpek","Male",27,"training"
"s1391",9,"linguistic",TRUE,"fanpak","male","chair_large","fan","chair_dimin","fanpek","fanpak","fanpak","Male",27,"training"
"s1391",10,"linguistic",TRUE,"fanpak","female","chair_large","fan","chair_dimin","fanpek","fanpak","fanpak","Male",27,"training"
