"participant","regular","partnerRegCondition","partnerSensibility","phase","gender","yearOfBirth","age","verb.baseline.reg","irregForm","regForm"
"s6032",FALSE,"increase","sensible","pretest","Male",1992,23,0.376,"shrode","shrided"
"s6032",TRUE,"increase","sensible","posttest","Male",1992,23,0.54,"twam","twimmed"
"s6032",TRUE,"increase","sensible","pretest","Male",1992,23,0.713,"prilt","prilled"
"s6032",TRUE,"increase","sensible","posttest","Male",1992,23,0.475,"swelt","sweeled"
"s6032",FALSE,"increase","sensible","pretest","Male",1992,23,0.673,"dwilt","dwilled"
"s6032",TRUE,"increase","sensible","posttest","Male",1992,23,0.718,"yilt","yilled"
"s6032",FALSE,"increase","sensible","posttest","Male",1992,23,0.614,"trone","trined"
"s6032",FALSE,"increase","sensible","posttest","Male",1992,23,0.376,"throde","thrided"
"s6032",TRUE,"increase","sensible","posttest","Male",1992,23,0.668,"smilt","smilled"
"s6032",FALSE,"increase","sensible","pretest","Male",1992,23,0.347,"sprode","sprided"
"s6036",TRUE,"decrease","sensible","pretest","Male",1993,22,0.658,"jone","jined"
"s6036",FALSE,"decrease","sensible","pretest","Male",1993,22,0.455,"snang","sninged"
