participant,gender,yearOfBirth,phase,weak.past,strong.past,category,partner.prefs,partnerRegRate,partnerRegCondition,item.baseline.reg,response,regular,pretest.mean,age
s6023,Female,1958,posttest,fimmed,fam,sang,match.baseline,0.654,no.change,0.772,fimmed,TRUE,0.653846154,57
s6023,Female,1958,posttest,strinked,strank,sang,match.baseline,0.654,no.change,0.416,strank,FALSE,0.653846154,57
s6023,Female,1958,posttest,cheemed,chemt,kept,match.baseline,0.654,no.change,0.733,chemt,FALSE,0.653846154,57
s6024,Female,1983,pretest,snited,snote,drove,match.baseline,0.481,no.change,0.53,snited,TRUE,0.480769231,32
s6024,Female,1983,pretest,drelled,drelt,burnt,match.baseline,0.481,no.change,0.653,drelt,FALSE,0.480769231,32
s6024,Female,1983,pretest,sleeled,slelt,kept,match.baseline,0.481,no.change,0.55,slelt,FALSE,0.480769231,32
s6024,Female,1983,posttest,kleemed,klemt,kept,match.baseline,0.481,no.change,0.653,kleemed,TRUE,0.480769231,32
s6024,Female,1983,pretest,shrided,shrode,drove,match.baseline,0.481,no.change,0.376,shrode,FALSE,0.480769231,32
s6024,Female,1983,pretest,neened,nent,kept,match.baseline,0.481,no.change,0.663,nent,FALSE,0.480769231,32
s6024,Female,1983,pretest,cheemed,chemt,kept,match.baseline,0.481,no.change,0.733,chemt,FALSE,0.480769231,32
s6024,Female,1983,posttest,strimmed,stram,sang,match.baseline,0.481,no.change,0.619,stram,FALSE,0.480769231,32
s6024,Female,1983,pretest,snined,snone,drove,match.baseline,0.481,no.change,0.644,snined,TRUE,0.480769231,32
s6024,Female,1983,posttest,spinged,spang,sang,match.baseline,0.481,no.change,0.401,spinged,TRUE,0.480769231,32
s6024,Female,1983,pretest,snurned,snurnt,burnt,match.baseline,0.481,no.change,0.757,snurnt,FALSE,0.480769231,32
s6024,Female,1983,pretest,schmimmed,schmam,sang,match.baseline,0.481,no.change,0.634,schmimmed,TRUE,0.480769231,32
s6024,Female,1983,posttest,blurned,blurnt,burnt,match.baseline,0.481,no.change,0.639,blurned,TRUE,0.480769231,32
s6024,Female,1983,pretest,klided,klode,drove,match.baseline,0.481,no.change,0.495,klided,TRUE,0.480769231,32
s6024,Female,1983,pretest,surned,surnt,burnt,match.baseline,0.481,no.change,0.698,surned,TRUE,0.480769231,32
s6024,Female,1983,posttest,glilled,glilt,burnt,match.baseline,0.481,no.change,0.673,glilt,FALSE,0.480769231,32
