"Word","Valence.M","Arousal.M","Dominance.M","Word.Frequency","Valence.F","Arousal.F","Dominance.F","Freq.Bin","Freq.Colour","overallV"
"festive",7.26,6.63,5.67,2,7.32,6.54,5.84,"LOW","blue",7.29
"fever",3.05,3.8,3.68,19,2.48,4.73,3.38,"MID","darkgreen",2.765
"field",6.08,4.04,5.68,274,6.31,4.12,6,"HIGH","red",6.195
"fight",4.81,6.9,5.71,98,2.65,7.4,4.8,"HIGH","red",3.73
"filth",3.12,3.94,4.5,2,2.04,5.85,3.38,"LOW","blue",2.58
"finger",5.29,4.05,5.24,40,5.3,3.5,4.85,"HIGH","red",5.295
"fire",4.2,6.5,5.2,187,2.85,7.44,4.2,"HIGH","red",3.525
"fireworks",7.8,6.56,5.56,5,7.31,6.77,5.46,"LOW","blue",7.555
"fish",6.2,3.84,6.48,35,5.88,4.15,5.58,"HIGH","red",6.04
"flabby",4.16,3.68,4.37,0,1.52,5.68,2.54,"LOW","blue",2.84
"flag",5.9,5.4,5.65,16,6.14,3.86,5.36,"MID","darkgreen",6.02
"flirt",7.48,6.9,6.45,1,7.57,6.91,6.05,"LOW","blue",7.525
"flood",3.75,5.9,3.9,19,2.68,6.09,2.64,"MID","darkgreen",3.215
"flower",6.06,4.6,4.73,23,7,3.65,5.12,"MID","darkgreen",6.53
"foam",5.45,4.25,5.1,37,6.67,6.18,5.38,"HIGH","red",6.06
"food",7.88,5.4,6.72,147,7.42,6.42,5.65,"HIGH","red",7.65
"foot",5.06,3.5,5.17,70,5,3.12,4.85,"HIGH","red",5.03
"fork",5.48,4.04,5.83,14,5.12,3.88,5.65,"MID","darkgreen",5.3
"foul",2.94,5.18,4.71,4,2.73,4.76,4.38,"LOW","blue",2.835
"fragrance",6.24,5.75,5.62,6,5.96,4.19,4.85,"LOW","blue",6.1
"fraud",2.7,5.3,4.7,8,2.65,5.92,3.15,"MID","darkgreen",2.675
"free",7.83,5.09,5.73,260,8.48,5.17,6.65,"HIGH","red",8.155
"freedom",7.53,6.25,6.38,128,7.62,5.08,7,"HIGH","red",7.575
"friend",7.18,6.38,6.25,133,8.12,5.35,7.04,"HIGH","red",7.65
"friendly",8.29,4.77,6.15,61,8.5,5.28,5.8,"HIGH","red",8.395
"frigid",3.44,4.61,4.44,5,3.54,4.85,4.15,"LOW","blue",3.49
"frustrated",2.7,5.55,3.7,10,2.31,5.65,3.35,"MID","darkgreen",2.505
"fun",8.21,7.11,6.79,44,8.5,7.32,6.82,"HIGH","red",8.355
"funeral",1.64,4,2.71,33,1.23,5.55,3.14,"HIGH","red",1.435
"fungus",3.83,4.18,4.36,2,2.65,4.91,3.91,"LOW","blue",3.24
"fur",5.5,3.55,4.82,13,4,4.48,4.09,"MID","darkgreen",4.75
"game",7.58,6.32,5.74,123,6.52,5.58,5.68,"HIGH","red",7.05
"gangrene",2.73,5.93,3.6,0,2.06,5.59,3.25,"LOW","blue",2.395
"garbage",3.45,4.3,4.75,7,2.62,5.64,3.85,"MID","darkgreen",3.035
"garden",6.43,4.76,6.19,60,7,4,5.85,"HIGH","red",6.715
"garment",5.47,3.95,4.84,6,6.52,4.88,5.64,"LOW","blue",5.995
"garter",6.92,6.08,6.04,2,5.54,4.88,5.62,"LOW","blue",6.23
"gender",5.6,4.35,5.58,2,5.86,4.41,5.62,"LOW","blue",5.73
"gentle",6.9,2.9,4.7,27,7.45,3.31,5.24,"MID","darkgreen",7.175
"germs",2.9,4.29,3.9,1,2.81,4.68,3.67,"LOW","blue",2.855
"gift",6.6,5.27,5.13,33,8.38,6.59,5.72,"HIGH","red",7.49
"girl",7.6,5.85,5.85,220,6.31,3.04,5.77,"HIGH","red",6.955
"glacier",5.67,4.53,4.8,1,5.39,4.04,5,"LOW","blue",5.53
"glamour",6.13,4.6,5.6,5,7.17,4.74,5.87,"LOW","blue",6.65
"glass",4.5,4.44,5.28,99,4.92,4.15,4.81,"HIGH","red",4.71
"gloom",2.08,4.17,4,14,1.79,3.68,3.36,"MID","darkgreen",1.935
"glory",7.4,6.13,7,21,7.62,5.97,6.78,"MID","darkgreen",7.51
"gold",7.92,6.45,5.73,52,7.35,5.43,5.91,"HIGH","red",7.635
"golfer",5.76,3.84,5.68,3,5.46,3.62,5.42,"LOW","blue",5.61
"good",7.33,5.05,5.78,807,7.59,6.05,6.95,"HIGH","red",7.46
"gossip",3.75,5.1,3.9,13,3.23,6.32,3.27,"MID","darkgreen",3.49
"graduate",8,7.56,6.69,30,8.35,7,7.15,"HIGH","red",8.175
"grass",5.85,4.85,5.55,53,6.38,3.67,5.33,"HIGH","red",6.115
"grateful",7.33,4.27,6.2,25,7.39,4.78,6.17,"MID","darkgreen",7.36
"greed",4.14,5.38,5.24,3,2.85,4,4.5,"LOW","blue",3.495
"green",5.3,4.8,4.2,116,6.48,4.1,5.03,"HIGH","red",5.89
"greet",6.95,5.29,6.24,7,7.05,5.25,5.65,"MID","darkgreen",7
"grenade",3.9,5.48,4.76,3,3.32,5.91,3.81,"LOW","blue",3.61
"grief",1.8,4.7,4.4,10,1.65,4.81,3.15,"MID","darkgreen",1.725
"grime",3.95,4.37,4.72,0,2.86,3.64,4.27,"LOW","blue",3.405
"grin",6.89,5.7,6.32,13,7.79,4.92,5.75,"MID","darkgreen",7.34
"gripe",3.25,4.95,4.25,0,3.05,5.05,5.05,"LOW","blue",3.15
"guillotine",4,6.25,5,0,1.82,6.69,4.48,"LOW","blue",2.91
"guilty",2.75,5.05,3.5,29,2.54,6.81,2.77,"MID","darkgreen",2.645
"gun",4.72,7.08,4.36,118,2.27,6.96,2.73,"HIGH","red",3.495
"gymnast",6.44,4.48,5.32,1,6.27,5.54,5.31,"LOW","blue",6.355
"habit",4.15,3.85,4.4,23,4.08,4.04,4.21,"MID","darkgreen",4.115
"hairdryer",4.88,3.8,5.24,0,4.8,3.62,5.88,"LOW","blue",4.84
"hairpin",5.4,3.5,5.11,1,5.13,3.22,5,"LOW","blue",5.265
"hamburger",6.95,4.95,5.58,6,5.68,4.18,5.09,"LOW","blue",6.315
"hammer",4.75,4.65,5.25,9,5,4.5,4.25,"MID","darkgreen",4.875
"hand",5.84,4.6,5.84,431,6.05,4.43,4.9,"HIGH","red",5.945
"handicap",3.62,3.68,4.14,6,2.95,3.95,3.85,"LOW","blue",3.285
"handsome",7.5,4.42,5.58,40,8.09,6.55,5.03,"HIGH","red",7.795
"haphazard",3.64,3.68,4.14,2,4.45,4.5,4.45,"LOW","blue",4.045
"happy",8.25,7,6.73,98,8.19,6.19,6.58,"HIGH","red",8.22
"hard",5.68,5.42,5.84,202,4.82,4.86,5.36,"HIGH","red",5.25
"hardship",3,4.7,5.15,9,1.95,5.05,3.33,"MID","darkgreen",2.475
"hat",5.58,4.53,5.47,56,5.36,3.73,5.32,"HIGH","red",5.47
"hate",2.92,7.33,5.42,42,1.79,6.79,4.9,"HIGH","red",2.355
"hatred",2.53,6.47,4.6,20,1.69,6.76,4.14,"MID","darkgreen",2.11
"hawk",6.33,4.08,5.71,14,5.46,4.68,5.31,"MID","darkgreen",5.895
"hay",5.19,4.81,5.81,19,5.3,3.05,4.9,"MID","darkgreen",5.245
"headache",2.24,5.18,4.24,5,1.88,5,3.16,"LOW","blue",2.06
"headlight",5.05,3.77,4.76,0,5.45,3.85,5,"LOW","blue",5.25
"heal",6.71,4.86,5.29,2,7.45,4.9,6.29,"LOW","blue",7.08
"health",6.93,5.33,5.87,105,6.75,5.03,5.81,"HIGH","red",6.84
"heart",6.9,6.14,5.48,173,7.9,6.55,5.5,"HIGH","red",7.4
"heaven",7.07,6.53,6.2,43,7.41,5.16,6.12,"HIGH","red",7.24
"helpless",2.2,4.87,2.53,21,2.19,5.62,2.12,"MID","darkgreen",2.195
"heroin",3.85,4.45,4.2,2,4.79,5.67,5.29,"LOW","blue",4.32
"hide",5.07,4.47,4.27,22,3.97,5.66,3,"MID","darkgreen",4.52
"highway",6.04,4.8,5.64,40,5.8,5.52,5.68,"HIGH","red",5.92
"hinder",3.86,4.09,4.18,0,3.75,4.15,4.25,"LOW","blue",3.805
"history",6,4.12,5.19,286,4.77,3.81,4.62,"HIGH","red",5.385
"hit",5.44,5.4,5.67,115,3.27,6.04,4.15,"HIGH","red",4.355
"holiday",7.3,7.1,6.9,17,7.75,6.17,5.79,"MID","darkgreen",7.525
"home",7.71,4.29,6.35,547,8.04,4.16,5.6,"HIGH","red",7.875
"honest",7.21,5.71,5.21,47,8,5.09,6.87,"HIGH","red",7.605
"honey",6.53,4.53,5.68,25,6.91,4.5,5.23,"MID","darkgreen",6.72
"honor",7.6,6.13,6.14,66,7.69,5.77,7,"HIGH","red",7.645
"hope",6.67,4.84,5.32,178,7.32,5.88,5.68,"HIGH","red",6.995
"hopeful",7.07,6.27,5.47,12,7.12,5.5,5.38,"MID","darkgreen",7.095
"horror",3.18,6.44,4.62,17,2.48,7.69,4.64,"MID","darkgreen",2.83
"horse",5.6,3.5,4.2,117,6,4.04,4.85,"HIGH","red",5.8
"hospital",5.05,5,4.8,110,5.04,6.73,4.6,"HIGH","red",5.045
"hostage",2.25,5.5,3.2,2,2.15,7.73,2.54,"LOW","blue",2.2
"hostile",3.33,6.8,5.73,19,2.38,6.23,4.35,"MID","darkgreen",2.855
"hotel",6.67,5.26,5.33,126,5.52,4.46,4.96,"HIGH","red",6.095
"house",7.29,4.04,6.38,591,7.23,5.04,5.81,"HIGH","red",7.26
"hug",7.67,5.55,5.27,3,8.17,5.26,6.04,"LOW","blue",7.92
"humane",6.17,4.83,5.67,5,7.38,4.27,5.73,"LOW","blue",6.775
"humble",6,3.53,5.06,18,5.76,3.88,4.56,"MID","darkgreen",5.88
"humiliate",2.2,6.35,2.9,0,2.27,5.95,2.32,"LOW","blue",2.235
"humor",8.2,4.3,5.2,47,8.69,5.96,6.42,"HIGH","red",8.445
"hungry",3.67,5.2,4.67,23,3.52,5.09,4.7,"MID","darkgreen",3.595
"hurricane",4.19,6.67,3.76,8,2.45,7,2.35,"MID","darkgreen",3.32
"hurt",2.55,6.27,3.82,37,1.66,5.68,3.14,"HIGH","red",2.105
"hydrant",5.08,3.64,5.52,0,4.96,3.77,5.54,"LOW","blue",5.02
"icebox",5,4.84,5,3,4.91,3.59,5.09,"LOW","blue",4.955
"idea",6.43,5.57,5.62,195,7.57,6.14,6.9,"HIGH","red",7
"identity",6.23,5.09,6.32,55,6.95,4.8,6.5,"HIGH","red",6.59
"idiot",3.4,4.8,4.4,2,3,3.83,2.39,"LOW","blue",3.2
"idol",5.71,4.76,5.52,7,6.55,5.15,5.2,"MID","darkgreen",6.13
"ignorance",2.9,3.85,4.45,16,3.21,4.83,4.38,"MID","darkgreen",3.055
"illness",2.7,4.6,3.7,20,2.27,4.82,2.77,"MID","darkgreen",2.485
"imagine",7.1,5.6,6.5,61,7.52,6.32,7.62,"HIGH","red",7.31
"immature",4.1,4.19,4.95,7,2.65,4.1,4.75,"MID","darkgreen",3.375
"immoral",3.75,4.75,4.65,5,3.29,5.17,4.67,"LOW","blue",3.52
"impair",3.42,3.47,4.21,4,3,4.46,4,"LOW","blue",3.21
"impotent",3.24,4.69,4.25,2,2.54,4.5,2.92,"LOW","blue",2.89
"impressed",6.77,5.77,5.93,30,7.62,5.24,5.28,"HIGH","red",7.195
"improve",7.35,5.56,5.94,39,7.9,5.8,6.2,"HIGH","red",7.625
"incentive",7.05,5.7,5.95,12,6.95,5.95,5.9,"MID","darkgreen",7
"indifferent",4.8,3.2,4.7,11,4.46,3.17,4.96,"MID","darkgreen",4.63
"industry",5.8,4.73,5.67,171,5.06,4.34,4.56,"HIGH","red",5.43
"infant",6.05,4.64,5.55,11,7.95,5.5,5.8,"MID","darkgreen",7
"infatuation",6.96,7.08,5.48,4,6.5,6.96,4.32,"LOW","blue",6.73
"infection",1.93,4.73,4,8,1.48,5.22,3.35,"MID","darkgreen",1.705
"inferior",3.09,3.27,3,7,3.05,4.45,2.55,"MID","darkgreen",3.07
"inhabitant",4.79,4.74,5.58,0,5.27,3.27,5.18,"LOW","blue",5.03
"injury",3.16,5.56,3.8,27,1.85,5.81,3.35,"MID","darkgreen",2.505
"ink",5,3.54,4.54,7,5.08,4,4.64,"MID","darkgreen",5.04
"innocent",6.25,4.65,5.16,37,6.76,3.82,5.38,"HIGH","red",6.505
"insane",3.58,5.68,4.95,13,2.23,5.95,3.41,"MID","darkgreen",2.905
"insect",4.5,4.15,4.9,14,3.68,4.19,4.24,"MID","darkgreen",4.09
"insecure",2.2,3.9,2.5,3,2.41,6.14,2.28,"LOW","blue",2.305
"insolent",4.71,5.69,4.88,2,4.12,5.19,4.27,"LOW","blue",4.415
"inspire",6.4,5.07,6.13,3,7.35,4.96,6.48,"LOW","blue",6.875
"inspired",6.6,6,6.45,25,7.58,6.04,6.85,"MID","darkgreen",7.09
"insult",3,5.37,4.44,7,1.68,6.55,2.95,"MID","darkgreen",2.34
"intellect",6.72,4.78,6.83,5,6.88,4.92,5.92,"LOW","blue",6.8
"interest",7,5.18,5.73,330,7.3,5.87,5.83,"HIGH","red",7.15
"intimate",7.74,7.05,6.05,21,7.52,6.92,5.72,"MID","darkgreen",7.63
"intruder",3.78,6.44,4.83,1,2.08,7.15,3.42,"LOW","blue",2.93
"invader",3.75,4.3,3.95,1,2.46,6.5,4.04,"LOW","blue",3.105
"invest",5.64,5.41,5.68,3,6.25,4.8,6.1,"LOW","blue",5.945
"iron",5.28,4,5.25,43,4.54,3.54,4.96,"HIGH","red",4.91
"irritate",2.87,5.13,5.2,0,3.26,6.17,4.91,"LOW","blue",3.065
"item",5.32,3.5,5.09,54,5.2,2.95,5.45,"HIGH","red",5.26
"jail",2,5.13,3.13,21,1.91,5.73,4.27,"MID","darkgreen",1.955
"jealousy",2.65,5.55,3.35,4,2.4,7,4.16,"LOW","blue",2.525
"jelly",5.75,4.08,5.08,3,5.62,3.54,4.29,"LOW","blue",5.685
"jewel",6.3,5.6,4.8,1,7.24,5.31,5.86,"LOW","blue",6.77
"joke",8.19,6.67,6.24,22,8,6.82,6.05,"MID","darkgreen",8.095
"jolly",7.38,5.68,6.33,4,7.45,5.45,6.45,"LOW","blue",7.415
"journal",4.95,4.45,4.85,42,5.32,3.68,5.64,"HIGH","red",5.135
"joy",8.57,8.14,5.93,40,8.62,6.73,6.46,"HIGH","red",8.595
"joyful",7.57,6.36,6.21,1,8.52,5.81,6.77,"LOW","blue",8.045
"jug",5.45,4.23,5.18,6,5,3.5,4.9,"LOW","blue",5.225
"justice",7.42,4.92,6.25,114,7.93,5.71,6.57,"HIGH","red",7.675
"kerchief",5.56,3.67,5.39,1,4.81,3.27,5.15,"LOW","blue",5.185
"kerosene",4.86,4.31,4.31,6,4.77,4.36,4.8,"LOW","blue",4.815
"ketchup",5.52,3.86,5.19,1,5.68,4.52,5.38,"LOW","blue",5.6
"kettle",5.19,3.57,4.95,3,5.25,2.85,5.05,"LOW","blue",5.22
"key",5.35,3.95,5.15,88,5.96,3.5,4.83,"HIGH","red",5.655
"kick",4.5,4.23,5.32,16,4.1,5.65,5.7,"MID","darkgreen",4.3
"kids",6.84,5.26,4.79,32,6.96,5.27,5.28,"HIGH","red",6.9
"killer",2.64,7.07,4.57,21,1.43,8.35,4.52,"MID","darkgreen",2.035
"kind",7.5,3.8,5.3,313,7.62,4.69,6.17,"HIGH","red",7.56
"kindness",7.05,5,5.11,5,8.38,3.76,6.08,"LOW","blue",7.715
"king",7,5.6,7.5,88,7.34,5.48,7.34,"HIGH","red",7.17
"kiss",8.29,6.87,6.57,17,8.24,7.55,7.1,"MID","darkgreen",8.265
"kitten",6.72,5,6.92,5,7,5.15,6.81,"LOW","blue",6.86
"knife",4.6,5.84,5.04,76,2.64,5.77,3.23,"HIGH","red",3.62
"knot",4.45,3.71,4.85,8,4.82,4.62,4.5,"MID","darkgreen",4.635
"knowledge",7.55,5.95,6.35,145,7.6,5.9,7.2,"HIGH","red",7.575
"lake",6,4.2,4.5,54,7.1,3.86,5.03,"HIGH","red",6.55
"lamb",5.45,3.3,4.95,7,6.25,3.42,4.88,"MID","darkgreen",5.85
"lamp",5.1,3.71,5,18,5.75,3.9,5.55,"MID","darkgreen",5.425
"lantern",5.5,4.3,5.3,13,5.64,4,4.86,"MID","darkgreen",5.57
"laughter",8.55,6.8,6.2,22,8.35,6.7,6.7,"MID","darkgreen",8.45
"lavish",5.68,4.91,5.5,3,6.8,4.95,5.8,"LOW","blue",6.24
"lawn",5.26,4.21,5.47,15,5.23,3.82,5.27,"MID","darkgreen",5.245
"lawsuit",3.2,4.33,4.05,1,3.52,5.5,3.8,"LOW","blue",3.36
"lazy",4.43,2.29,4.14,9,4.33,3,4,"MID","darkgreen",4.38
"leader",7.38,6.19,7.43,74,7.9,6.35,8.35,"HIGH","red",7.64
"learn",6.93,5.13,6,84,7.27,5.54,6.54,"HIGH","red",7.1
"legend",6.37,5.58,5.79,26,6.41,4.27,5.32,"MID","darkgreen",6.39
"leisurely",6.71,2.82,5,5,7,4.52,5.25,"LOW","blue",6.855
"leprosy",2.09,5.92,4,1,2.09,6.48,4,"LOW","blue",2.09
"letter",6.26,5.21,5.89,145,6.91,4.64,5.59,"HIGH","red",6.585
"liberty",7.67,5.92,6.17,46,8.1,5.47,6.33,"HIGH","red",7.885
"lice",2.69,5.14,4.62,2,2.12,4.92,3.6,"LOW","blue",2.405
"lie",3.87,5.33,4.33,59,2.28,6.25,2.81,"HIGH","red",3.075
"life",7,5.42,5.58,715,7.38,6.26,5.77,"HIGH","red",7.19
"lightbulb",5.44,3.8,5.38,0,5.77,4.38,6.23,"LOW","blue",5.605
"lighthouse",6.33,5.06,5.06,0,5.58,3.96,5.38,"LOW","blue",5.955
"lightning",5.16,6.52,3.72,14,4,6.69,3.62,"MID","darkgreen",4.58
"limber",5.45,4.85,4.8,2,5.9,4.52,5.86,"LOW","blue",5.675
"lion",5.6,5.84,4.64,17,5.54,6.54,3.62,"MID","darkgreen",5.57
"listless",4.41,4.94,4.94,1,3.92,3.58,3.65,"LOW","blue",4.165
"lively",6.89,5.47,6.11,26,7.42,5.8,6.08,"MID","darkgreen",7.155
"locker",4.95,3.41,5.05,9,5.45,3.35,5.7,"MID","darkgreen",5.2
"loneliness",1.67,4.67,2.75,9,1.59,4.52,2.42,"MID","darkgreen",1.63
"lonely",2.2,3.8,2.8,25,2.15,4.92,3.04,"MID","darkgreen",2.175
"loser",2.61,4.84,3.58,1,1.95,5.05,2.55,"LOW","blue",2.28
"lost",3.22,5.89,2.83,173,2.54,5.77,2.88,"HIGH","red",2.88
"lottery",6.72,5.11,5.22,1,6.46,5.76,4.52,"LOW","blue",6.59
"louse",3.88,4.47,4.19,3,2.15,5.31,3.19,"LOW","blue",3.015
"love",8.6,6.5,7.1,232,8.77,6.42,7.12,"HIGH","red",8.685
"loved",8.1,5.5,5.2,56,8.83,6.69,7.1,"HIGH","red",8.465
"loyal",6.8,5,6.47,18,7.93,5.24,7.14,"MID","darkgreen",7.365
"lucky",7.94,7,6.24,21,8.35,6.15,5.9,"MID","darkgreen",8.145
"lump",4.95,4.32,4.47,7,3.58,5.36,4.2,"MID","darkgreen",4.265
"luscious",7.55,6.08,5.09,2,7.48,4.96,5.96,"LOW","blue",7.515
"luxury",7.5,4.08,6.33,21,8.03,5.04,6.43,"MID","darkgreen",7.765
"machine",4.65,3.8,4.95,103,5.46,3.83,5.46,"HIGH","red",5.055
"mad",2.35,7.2,5.75,39,2.52,6.67,5.95,"HIGH","red",2.435
"madman",4.79,5.11,5.37,2,3.24,5.88,4.33,"LOW","blue",4.015
"maggot",2.4,4.6,4.6,2,1.92,5.54,3.81,"LOW","blue",2.16
"magical",7.05,6.05,5.58,12,7.82,5.86,5.86,"MID","darkgreen",7.435
"mail",6.5,5.74,5.61,47,7.18,5.55,5.73,"HIGH","red",6.84
"malaria",2.4,4.19,3.1,3,2.41,4.81,3.33,"LOW","blue",2.405
"malice",3.56,5.22,4.67,2,2.38,6.08,4.77,"LOW","blue",2.97
"man",6.24,3.68,6.28,1207,7.19,6.73,4.81,"HIGH","red",6.715
"mangle",4.16,5.79,5.37,0,3.68,5.14,3.95,"LOW","blue",3.92
"maniac",4.29,5.24,4.24,4,3.2,5.55,4.2,"LOW","blue",3.745
"manner",5.67,4.71,4.57,124,5.62,4.41,5.52,"HIGH","red",5.645
"mantel",4.9,3.75,5,3,4.96,2.88,4.92,"LOW","blue",4.93
"manure",2.95,4.05,4.85,6,3.23,4.27,4.5,"LOW","blue",3.09
"market",5.84,4.79,5.11,155,5.5,3.55,5.41,"HIGH","red",5.67
"massacre",2.24,5.48,4.14,1,2.32,5.43,2.86,"LOW","blue",2.28
"masterful",7.27,5.67,6.93,2,7,4.97,7.31,"LOW","blue",7.135
"material",5.27,4.5,5.18,174,5.25,3.55,5.05,"HIGH","red",5.26
"measles",3.33,4.4,4.73,2,2.47,5.38,3.84,"LOW","blue",2.9
"medicine",5.57,4.52,4.81,30,5.76,4.48,4.59,"HIGH","red",5.665
"meek",4.5,3.3,4.35,10,3.38,4.19,3.15,"MID","darkgreen",3.94
"melody",6.68,4.77,5.57,21,7.5,5.2,5.35,"MID","darkgreen",7.09
"memories",7.35,6.2,5.55,15,7.59,6,6.18,"MID","darkgreen",7.47
"memory",6.88,5.44,5.12,76,6.4,5.4,5.1,"HIGH","red",6.64
"menace",3.18,5.24,5.24,9,2.68,5.72,4.81,"MID","darkgreen",2.93
"merry",7.7,6.35,6.85,8,8.09,5.5,6.45,"MID","darkgreen",7.895
"messy",3.14,3.1,5.43,3,3.16,3.79,4,"LOW","blue",3.15
"metal",5.09,3.82,5.36,61,4.8,3.75,5.4,"HIGH","red",4.945
"method",5.9,4.43,6.3,142,5.2,3.25,5.05,"HIGH","red",5.55
"mighty",6.1,5.35,7,29,6.88,5.81,7.4,"MID","darkgreen",6.49
"mildew",3.36,4.07,4.64,1,3.08,4.08,4.27,"LOW","blue",3.22
"milk",6.43,4.52,6.14,49,5.45,2.8,5.5,"HIGH","red",5.94
"millionaire",8.3,5.6,6.4,2,7.92,6.35,7.19,"LOW","blue",8.11
"mind",6.52,5.24,6.33,325,6.85,4.75,6.4,"HIGH","red",6.685
"miracle",8.4,7.53,5.4,16,8.72,7.72,5.32,"MID","darkgreen",8.56
"mischief",5.4,5.75,5.55,5,5.73,5.77,5.57,"LOW","blue",5.565
"misery",2.3,4.95,2.95,15,1.59,5.36,2.18,"MID","darkgreen",1.945
"mistake",3.25,5.15,4.7,34,2.54,5.21,3.17,"HIGH","red",2.895
"mobility",6.7,5.45,6.45,8,6.95,4.59,6.41,"MID","darkgreen",6.825
"modest",5.68,4.42,5.11,29,5.81,3.65,4.85,"MID","darkgreen",5.745
"mold",3.9,4,4.52,45,3.19,4.14,4.14,"HIGH","red",3.545
"moment",5.53,4.56,4.94,246,5.92,3.38,4.73,"HIGH","red",5.725
"money",7.92,5,6.33,265,7.45,6,6.21,"HIGH","red",7.685
"month",5.4,4.1,4.8,130,5.07,4,4.86,"HIGH","red",5.235
"moody",3.5,4,4.55,5,2.96,4.33,4.25,"LOW","blue",3.23
"moral",5.95,4.57,5.81,142,6.45,4.4,6,"HIGH","red",6.2
"morbid",3.4,4.73,4.67,1,2.62,5.22,4.19,"LOW","blue",3.01
"morgue",2.27,4.2,4.47,1,1.7,5.26,3.04,"LOW","blue",1.985
"mosquito",3.29,4.71,4.71,1,2.3,4.85,4.3,"LOW","blue",2.795
"mother",7.87,5.2,4.53,216,8.74,6.74,6.52,"HIGH","red",8.305
"mountain",6.2,5.8,6.2,33,6.86,5.27,4.95,"HIGH","red",6.53
"movie",6.73,5.07,4.67,29,6.93,4.86,5.17,"MID","darkgreen",6.83
"mucus",3.86,3.43,5.19,2,2.8,3.4,4.4,"LOW","blue",3.33
"muddy",4.84,3.95,4.79,10,4.15,4.44,4.68,"MID","darkgreen",4.495
"muffin",6.35,4.55,5.55,0,6.77,5.19,5.48,"LOW","blue",6.56
"murderer",1.83,7.58,4.5,19,1.42,7.42,3.5,"MID","darkgreen",1.625
"muscular",6.08,5.92,6.92,16,7.09,5.29,6.45,"MID","darkgreen",6.585
"museum",5.45,4.4,5.4,32,5.62,3,5.24,"HIGH","red",5.535
"mushroom",6.08,4.96,5.88,2,5.5,4.5,5.19,"LOW","blue",5.79
"music",7.67,5.6,5.67,216,8.43,5.13,6.87,"HIGH","red",8.05
"mutation",4.37,4.84,4.37,0,3.56,4.85,3.84,"LOW","blue",3.965
"mutilate",1.4,7.5,4.6,3,1.97,6.03,3,"LOW","blue",1.685
"mystic",5.95,4.2,5.45,3,6.04,5.38,5.58,"LOW","blue",5.995
"naked",6.95,6.1,6.58,32,5.83,5.78,5.52,"HIGH","red",6.39
"name",5.95,4.75,5.35,294,5.21,3.83,5,"HIGH","red",5.58
"narcotic",4.5,4.75,4.7,2,4.09,5.33,4.19,"LOW","blue",4.295
"nasty",4.21,5.21,5.05,5,3.12,4.84,4.96,"LOW","blue",3.665
"natural",6.56,4.78,5.56,156,6.62,3.62,5.58,"HIGH","red",6.59
"nature",7.43,4.62,5,191,7.77,4.24,4.92,"HIGH","red",7.6
"nectar",6.79,3.54,4.85,3,6.96,4.08,4.38,"LOW","blue",6.875
"needle",4.11,5,4.11,15,3.62,5.62,3.85,"MID","darkgreen",3.865
"neglect",3.33,4.52,3.95,12,1.9,5.15,3.75,"MID","darkgreen",2.615
"nervous",3.74,5.53,4.16,24,2.91,7.5,3.05,"MID","darkgreen",3.325
"neurotic",4.95,4.74,4.42,10,4.08,5.42,4.4,"MID","darkgreen",4.515
"news",5.53,4.55,5.16,102,5.1,5.73,4.1,"HIGH","red",5.315
"nice",6.83,4.95,6.06,75,6.35,4.12,5.24,"HIGH","red",6.59
"nightmare",2.58,7.45,4.91,9,1.57,7.65,3.09,"MID","darkgreen",2.075
"noisy",5.1,6.15,4.95,6,4.95,6.59,4.91,"LOW","blue",5.025
"nonchalant",4.71,3.12,4.19,1,4.77,3.12,4.38,"LOW","blue",4.74
"nonsense",5.11,4.89,5.47,13,4.18,3.55,4.41,"MID","darkgreen",4.645
"noose",4.14,4.71,4,3,3.35,4.05,4.35,"LOW","blue",3.745
"nourish",6.24,4.43,5.67,0,6.7,4.15,5.95,"LOW","blue",6.47
"nuisance",3.84,4.58,4.63,5,2.85,4.6,4.16,"LOW","blue",3.345
"nun",4.5,3.11,4.94,2,5.23,2.81,4.92,"LOW","blue",4.865
"nurse",6.42,4.88,5.04,17,5.77,4.81,4.65,"MID","darkgreen",6.095
"nursery",4.95,3.47,4.79,13,6.31,4.64,5.48,"MID","darkgreen",5.63
"obesity",2.61,3.21,4.06,5,2.81,4.52,3.52,"LOW","blue",2.71
"obey",4.52,4.29,4.38,8,4.52,4.38,4.14,"MID","darkgreen",4.52
"obnoxious",4,4.7,5.6,5,3.05,5,5.19,"LOW","blue",3.525
"obscene",5.21,5.63,4.89,2,3.48,4.62,4.16,"LOW","blue",4.345
"obsession",5.72,6.72,5.56,5,3.69,6.19,4.23,"LOW","blue",4.705
"ocean",6.79,5.36,4.93,34,7.28,4.76,5.83,"HIGH","red",7.035
"odd",5.25,4.45,4.75,44,4.46,4.12,4.79,"HIGH","red",4.855
"offend",3.37,5.74,4.06,4,2.23,5.41,3.45,"LOW","blue",2.8
"office",5.28,4.08,5.28,255,5.19,4.08,5.88,"HIGH","red",5.235
"opinion",5.71,4.54,6.23,96,6.58,5.08,5.16,"HIGH","red",6.145
"optimism",6.14,4.81,6.38,15,7.8,5.9,6.85,"MID","darkgreen",6.97
"option",6.2,4.75,5.89,5,6.76,4.95,6.73,"LOW","blue",6.48
"orchestra",5.33,3,5.42,60,6.31,3.75,5.07,"HIGH","red",5.82
