"Word","Valence","Arousal","Dominance","Word.Frequency","gender"
"nice",6.35,4.12,5.24,75,"female"
"nightmare",1.57,7.65,3.09,9,"female"
"noisy",4.95,6.59,4.91,6,"female"
"nonchalant",4.77,3.12,4.38,1,"female"
"nonsense",4.18,3.55,4.41,13,"female"
"noose",3.35,4.05,4.35,3,"female"
"nourish",6.7,4.15,5.95,0,"female"
"nuisance",2.85,4.6,4.16,5,"female"
"nun",5.23,2.81,4.92,2,"female"
"nurse",5.77,4.81,4.65,17,"female"
"nursery",6.31,4.64,5.48,13,"female"
"obesity",2.81,4.52,3.52,5,"female"
"obey",4.52,4.38,4.14,8,"female"
"obnoxious",3.05,5,5.19,5,"female"
"obscene",3.48,4.62,4.16,2,"female"
"obsession",3.69,6.19,4.23,5,"female"
"ocean",7.28,4.76,5.83,34,"female"
"odd",4.46,4.12,4.79,44,"female"
"offend",2.23,5.41,3.45,4,"female"
"office",5.19,4.08,5.88,255,"female"
"opinion",6.58,5.08,5.16,96,"female"
"optimism",7.8,5.9,6.85,15,"female"
"option",6.76,4.95,6.73,5,"female"
"orchestra",6.31,3.75,5.07,60,"female"
"outdoors",7.58,6.35,6.23,6,"female"
"outrage",3.35,7.15,5.8,4,"female"
"outstanding",7.96,6.44,6.38,37,"female"
"overcast",3.33,2.95,4.14,9,"female"
"overwhelmed",3.88,7.29,3.41,4,"female"
"owl",5.58,3.96,5.65,2,"female"
"pain",1.54,7.12,3.27,88,"female"
"paint",6.05,3.86,5.86,37,"female"
"palace",7.65,5.29,5.48,38,"female"
"pamphlet",4.73,3.81,4.62,3,"female"
"pancakes",5.62,4.19,5.35,0,"female"
"panic",2.73,7.5,2.85,22,"female"
"paper",5.13,2.52,4.48,157,"female"
"paradise",8.85,4.4,5.55,12,"female"
"paralysis",1.64,4.64,2.55,6,"female"
"part",5.12,3.23,4.88,500,"female"
"party",8.35,6.76,6,216,"female"
"passage",5.12,4.31,4.85,49,"female"
"passion",8.1,7.1,6.1,28,"female"
"pasta",6.69,5,5.92,0,"female"
"patent",5.1,3.68,4.68,35,"female"
"patient",5.86,4.23,5.52,86,"female"
"patriot",6.59,4.05,5.32,10,"female"
"peace",8.2,2.05,5.2,198,"female"
"penalty",2.55,5.55,3.65,14,"female"
"pencil",5.19,3.19,4.88,34,"female"
"penthouse",6.73,4.91,6.18,1,"female"
"people",7.77,6.73,6.19,847,"female"
"perfection",6.97,6.32,6.58,11,"female"
"perfume",7.23,4.91,5.86,10,"female"
"person",6.22,4.42,5.13,175,"female"
"pervert",2.08,6.28,4.35,1,"female"
"pest",2.76,5.77,5.52,4,"female"
"pet",7.8,5.15,6.1,8,"female"
"phase",5.14,4.57,4.55,72,"female"
"pie",6.38,3.81,5.42,14,"female"
"pig",5.05,3.65,4.55,8,"female"
"pillow",7.95,2.45,4.6,8,"female"
"pinch",3.25,4.35,4.3,6,"female"
"pistol",2.73,6.09,3.41,27,"female"
"pity",3.05,4.14,3.81,14,"female"
"pizza",6.5,5.38,6.04,3,"female"
"plain",4,3.68,4.71,48,"female"
"plane",6.54,6.2,4.77,114,"female"
"plant",5.88,3.81,4.88,125,"female"
"pleasure",8.38,5.59,6.28,62,"female"
"poetry",6.23,3.76,5.28,88,"female"
"poison",1.81,6.62,3.27,10,"female"
"politeness",7.43,3.74,6.13,5,"female"
"pollute",1.77,6.04,4.5,1,"female"
"poster",5.25,3.33,4.88,4,"female"
"poverty",1.46,4.84,2.8,20,"female"
"power",6.12,6.44,7.28,342,"female"
"powerful",6.81,5.8,7.12,63,"female"
"prairie",5.93,3.26,4.39,21,"female"
"present",7.32,4.68,6.14,377,"female"
"pressure",3.27,6.55,3.77,185,"female"
"prestige",7.09,5.59,6.77,29,"female"
"pretty",7.85,5.37,6.05,107,"female"
"pride",7.22,5.84,7.28,42,"female"
"priest",6.65,3.71,4.88,16,"female"
"prison",1.97,5.61,4.04,42,"female"
"privacy",5.96,4.23,6.12,12,"female"
"profit",7.54,6.27,5.65,28,"female"
"progress",8,6.29,7.18,120,"female"
"promotion",8.28,6.74,6.77,26,"female"
"protected",8.12,4.08,6.19,31,"female"
"proud",8,5.39,6.74,50,"female"
"pungent",3.5,4.3,4.45,4,"female"
"punishment",2.12,6,3.48,21,"female"
"puppy",7.66,5.76,5.76,2,"female"
"pus",2.88,4.73,4.31,0,"female"
"putrid",2.12,5.88,4.92,0,"female"
"python",3.12,6.62,3.27,14,"female"
"quality",6.15,4.46,5.38,114,"female"
"quarrel",2.5,6.44,4,20,"female"
"quart",5.33,3.17,4.92,3,"female"
"queen",7.1,4.8,6.35,41,"female"
"quick",6.59,6.5,6.5,68,"female"
"quiet",5.52,2.94,4.16,76,"female"
"rabbit",6.73,4.38,6.12,11,"female"
"rabies",1.86,6.1,3.79,1,"female"
"radiant",7.04,5.67,5.38,8,"female"
"radiator",4.82,3.64,4.86,4,"female"
"radio",6.77,4.46,5.15,120,"female"
"rage",2.35,8.09,4.96,16,"female"
"rain",4.81,3.62,4.38,70,"female"
"rainbow",8.25,4.45,4.6,4,"female"
"rancid",4.24,4.81,4.04,0,"female"
"rat",2.82,5.14,4.11,6,"female"
"rattle",4.85,4.35,4.31,5,"female"
"razor",4.68,4.96,4.64,15,"female"
"red",6.46,5.62,6.19,197,"female"
"refreshment",7.28,4.68,5,2,"female"
"regretful",2.25,5.75,3.19,1,"female"
"rejected",1.38,6.26,2.45,33,"female"
"relaxed",7.39,1.87,5.52,14,"female"
"repentant",5.86,5.05,5.68,1,"female"
"reptile",4.27,5.23,4.38,0,"female"
"rescue",7.5,5.95,6.2,15,"female"
"resent",3.64,4.9,5.1,8,"female"
"reserved",4.87,3.38,3.94,27,"female"
"respect",7.95,5.25,7.4,125,"female"
"respectful",7.34,5,5.89,4,"female"
"restaurant",6.9,4.65,5.15,41,"female"
"reunion",6.5,6.58,5.5,11,"female"
"reverent",5.2,3.8,4.5,3,"female"
"revolt",4.24,6.41,6,8,"female"
"revolver",2.48,5.82,3.1,14,"female"
"reward",7.78,5.23,6.13,15,"female"
"riches",7.85,5.96,6.88,2,"female"
"ridicule",2.62,6.54,3.73,5,"female"
"rifle",2.62,6.23,2.96,63,"female"
"rigid",3.25,4.58,4.42,24,"female"
"riot",2.5,6.58,4.35,7,"female"
"river",6.93,4.69,5.34,165,"female"
"roach",1.95,7.5,4.5,2,"female"
"robber",2.18,5.81,3,2,"female"
"rock",5.32,4.81,5.05,75,"female"
"rollercoaster",8.23,8.5,5,0,"female"
"romantic",8.45,7.36,6.05,32,"female"
"rotten",2,4.7,4.22,2,"female"
"rough",4.76,5.68,4.81,41,"female"
"rude",2.35,6.26,4.61,6,"female"
"runner",5.69,5.62,5.15,1,"female"
"rusty",3.84,3.59,4.39,8,"female"
"sad",1.43,4.09,3,35,"female"
"safe",7.71,3.75,5.83,58,"female"
"sailboat",7.96,5,5.92,1,"female"
"saint",7.05,4,5.59,16,"female"
"salad",5.91,3.84,5.38,9,"female"
"salute",6.2,5.45,5.35,3,"female"
"sapphire",7.21,4.93,5.59,0,"female"
"satisfied",8.12,5.12,6.5,36,"female"
"save",6.65,4.8,5.75,62,"female"
"savior",7.72,5.76,6.66,6,"female"
"scalding",2.58,5.31,3.88,1,"female"
"scandal",2.68,5.27,3.91,8,"female"
"scapegoat",3.52,4.5,3.48,1,"female"
"scar",3.18,4.91,3.55,10,"female"
"scared",2.08,6.81,2.42,21,"female"
"scholar",7.35,5.17,6.96,15,"female"
"scissors",4.95,5,5.36,1,"female"
"scorching",3.95,5.32,4.05,0,"female"
"scorn",2.72,5.45,3.69,4,"female"
"scornful",2.27,5.69,4.42,5,"female"
"scorpion",3.75,6.42,3.92,0,"female"
"scream",3.73,7.38,4.81,13,"female"
"scurvy",2.96,4.92,4.6,1,"female"
"seasick",1.96,6.15,3.38,0,"female"
"seat",5.17,3.17,5,54,"female"
"secure",8,3.24,6.12,30,"female"
"selfish",2.04,5.58,4.33,8,"female"
"sentiment",6.12,4.5,5.35,23,"female"
"serious",4.82,4,4.93,116,"female"
"severe",2.38,5.48,3.5,39,"female"
"shadow",4.29,4.56,4.26,36,"female"
"shamed",2.05,5.8,2.8,1,"female"
"shark",3.5,7.08,2.42,0,"female"
"sheltered",5.95,3.95,3.5,4,"female"
"ship",5.75,4.75,5.4,83,"female"
"shotgun",2.82,6.41,4,8,"female"
"shriek",3.75,5.75,4.12,5,"female"
"shy",4.68,3.69,3.65,13,"female"
"sick",1.69,4.15,2.92,51,"female"
"sickness",2.08,5.36,3.08,6,"female"
"silk",7.16,3.5,4.84,12,"female"
"silly",7.73,5.5,6.23,15,"female"
"sin",2.5,6.15,3.31,53,"female"
"sinful",2.88,6.27,4.31,3,"female"
"sissy",2.81,5.23,2.92,0,"female"
"skeptical",4.2,4.62,4.24,7,"female"
"skijump",7.08,7.35,4.46,0,"female"
"skull",3.96,4.12,4.77,3,"female"
"sky",7.46,4.19,5.31,58,"female"
"skyscraper",5.73,5.81,4.31,2,"female"
"slap",2.56,6.58,4.38,2,"female"
"slaughter",1.44,6.71,3.47,10,"female"
"slave",1.62,7,2.76,30,"female"
"sleep",7.03,3.03,5.79,65,"female"
"slime",2.25,5.53,4.16,1,"female"
"slow",3.91,2.73,4.23,60,"female"
"slum",2.46,5,3.81,8,"female"
"slush",4.67,3.92,4.96,0,"female"
"smallpox",2.54,5.44,4.04,2,"female"
"smooth",6.48,4.85,5.32,42,"female"
"snake",2.58,6.92,3.08,44,"female"
"snob",3.6,5.61,5.03,1,"female"
"snow",7.27,6.12,5.69,59,"female"
"snuggle",8,3.96,5.57,4,"female"
"social",7.25,5.17,6.48,380,"female"
"soft",7.38,4.32,5.86,61,"female"
"solemn",3.85,3.3,4.7,12,"female"
"song",7.85,6.8,6.05,70,"female"
"soothe",7.2,4.31,5.88,2,"female"
"sour",4.18,5.23,4.5,3,"female"
"space",6.76,5.2,5.16,184,"female"
"spanking",2.33,5.39,3.22,0,"female"
"sphere",5.23,3.86,4.95,22,"female"
"spider",3.04,5.92,4.54,2,"female"
"spirit",7,5.59,6.17,182,"female"
"spouse",7.58,4.6,5.36,3,"female"
"spray",5.45,3.8,5.1,16,"female"
"spring",8,4.5,6.18,127,"female"
"square",4.69,3.41,4.48,143,"female"
"stagnant",4.14,3.91,4.67,5,"female"
"star",7.23,5.73,4.46,25,"female"
"startled",4.56,7.19,3.96,21,"female"
"starving",2,5.23,3.62,6,"female"
"statue",5.23,3.09,4.45,17,"female"
"stench",1.82,4.57,4.05,1,"female"
"stiff",4.29,3.86,4.86,21,"female"
"stink",3.13,4.26,4.22,3,"female"
"stomach",4.71,4.04,4.67,37,"female"
"stool",5,4.52,4.67,8,"female"
"storm",4.62,5.38,4.24,26,"female"
"stove",4.62,4.69,5.64,15,"female"
"street",5.19,3.19,4.65,244,"female"
"stress",2,7.47,3.58,107,"female"
"strong",6.91,5.83,7.09,202,"female"
"stupid",2.1,4.97,2.57,24,"female"
"subdued",4.54,2.93,3.68,8,"female"
"success",8.35,6.04,7.35,93,"female"
"suffocate",1.52,6.57,3,1,"female"
"sugar",7.05,5.14,5.68,34,"female"
"suicide",1,6.2,3.15,17,"female"
"sun",8.12,5.27,6.73,112,"female"
"sunlight",8.45,6.86,5.86,17,"female"
"sunrise",7.91,5.04,5.26,10,"female"
"sunset",8.19,4.23,5.65,14,"female"
"surgery",2.62,7,2.58,6,"female"
"surprised",7.66,7.31,6.22,58,"female"
"suspicious",3.55,6.45,4,13,"female"
"swamp",4.9,4.4,4.7,5,"female"
"sweetheart",8.52,5.61,6.09,9,"female"
"swift",6.36,4.91,6.27,32,"female"
"swimmer",6.81,5.46,6.15,0,"female"
"syphilis",1.45,7,3.55,0,"female"
"table",5.19,2.85,4.69,198,"female"
"talent",7.65,6.08,6.58,40,"female"
"tamper",4.1,5.05,4.45,1,"female"
"tank",4.42,4.85,4.04,12,"female"
"taste",6.64,5.12,5.48,59,"female"
"taxi",4.62,3.08,4.96,16,"female"
"teacher",5.62,3.67,5.17,80,"female"
"tease",3.96,5.68,4.29,6,"female"
"tender",7.29,4.68,5.33,11,"female"
"tennis",6.15,4.81,5.5,15,"female"
"tense",3.58,6.73,5.27,15,"female"
"termite",3.28,6.42,3.58,0,"female"
"terrible",1.65,6.69,3.15,45,"female"
"terrific",8.12,6.35,6.45,5,"female"
"terrified",1.69,8.08,2.88,7,"female"
"terrorist",1.42,7.77,2.42,0,"female"
"thankful",7.16,4.31,5.16,6,"female"
"theory",5.2,4.45,4.9,129,"female"
"thermometer",4.67,4.09,4.24,0,"female"
"thief",1.5,7.19,3.25,8,"female"
"thorn",3.68,5.12,4.44,3,"female"
"thought",6.8,4.85,6.4,515,"female"
"thoughtful",7.85,5.15,5.8,11,"female"
"thrill",7.85,7.81,6.54,5,"female"
"tidy",6.32,4.36,5.88,1,"female"
"time",5.38,4.24,4.28,1599,"female"
"timid",3.9,4.66,3.03,5,"female"
"tobacco",3.23,4.92,4.27,19,"female"
"tomb",2.55,5.05,3.3,11,"female"
"tool",4.91,3.91,5,40,"female"
"toothache",1.97,5.43,3.64,0,"female"
"tornado",2.29,7.03,3.82,1,"female"
"torture",1.58,7.11,3.5,3,"female"
"tower",5.35,3.5,5.2,13,"female"
"toxic",2.14,6.61,4.5,3,"female"
"toy",7,4.58,5.67,4,"female"
"tragedy",1.5,6.31,3.28,49,"female"
"traitor",2.25,6.1,4.25,2,"female"
"trash",2.88,4.35,5.58,2,"female"
"trauma",1.77,6.54,2.88,1,"female"
"travel",7.6,6.35,6.2,61,"female"
"treasure",8.1,6.15,6.4,4,"female"
"treat",7.5,5.71,6.19,26,"female"
"tree",6.28,3.75,4.79,59,"female"
"triumph",8.28,5.62,7.15,22,"female"
"triumphant",8.83,7.04,7,5,"female"
"trophy",7.73,5.23,6.65,8,"female"
"trouble",2.65,7.3,4.96,134,"female"
"troubled",2,6.28,3.76,31,"female"
"truck",4.96,4.96,5.15,57,"female"
"trumpet",5.7,4.8,4.55,7,"female"
"trunk",5.16,4.35,5.32,8,"female"
"trust",7.21,5.31,7.07,52,"female"
"truth",7.96,5.04,6.44,126,"female"
"tumor",1.77,7.12,3.23,17,"female"
"tune",7.45,4.55,5.55,10,"female"
"twilight",7.5,4.54,5.62,4,"female"
"ugly",2.39,5.57,4.22,21,"female"
"ulcer",1.72,6.04,4.11,5,"female"
"umbrella",5.12,4.32,5.2,8,"female"
"unfaithful",1.85,6.62,2.85,1,"female"
"unhappy",1.35,4.26,3.7,26,"female"
"unit",5.5,3.21,4.67,103,"female"
"untroubled",7.65,4.13,5.7,0,"female"
"upset",2,6.25,3.9,14,"female"
"urine",3.65,4.23,5.38,1,"female"
"useful",7.38,4.2,6,58,"female"
"useless",1.89,4.75,3.44,17,"female"
"utensil",5.4,3.4,4.95,0,"female"
"vacation",8.38,6.1,7,47,"female"
"valentine",8.23,6.12,6.15,2,"female"
"vampire",3.92,6.46,4.92,1,"female"
"vanity",4.29,5,4.91,7,"female"
"vehicle",6.15,4.38,5.56,35,"female"
"venom",1.8,6.55,3.6,2,"female"
"vest",5.46,3.69,5.08,4,"female"
"victim",1.92,6.12,1.92,27,"female"
"victory",8.6,6.88,7.42,61,"female"
"vigorous",6.74,6.38,5.52,29,"female"
"village",5.95,3.9,4.7,72,"female"
"violent",1.48,7.26,5.04,33,"female"
"violin",5.96,3.42,5.54,11,"female"
"virgin",6.62,4.73,6.67,35,"female"
"virtue",6.27,4,6.35,30,"female"
"vision",6.5,4.75,6.03,56,"female"
"world",6.69,5.52,5.21,787,"female"
"wounds",2.08,5.85,3.85,8,"female"
"writer",6.05,5.38,4.9,73,"female"
"yacht",6.55,5.35,5.9,4,"female"
"yellow",5.58,4.77,5.38,55,"female"
"young",7,5.54,5.04,385,"female"
"youth",6.68,5.81,4.56,82,"female"
"zest",7,5.52,5.88,5,"female"
"abduction",3.19,4.95,4.25,1,"male"
"abortion",4,4.72,5.44,6,"male"
"absurd",3.86,4.09,4.76,17,"male"
"abundance",6.62,5.9,6.05,13,"male"
"abuse",2.78,6.67,3.33,18,"male"
"acceptance",7.75,6,6.75,49,"male"
"accident",2,5.94,3.53,33,"male"
"ace",7.7,6.35,6.45,15,"male"
"ache",3,5.26,3.89,4,"male"
"achievement",7.58,4.42,6.67,65,"male"
"activate",5.89,4.44,5.56,2,"male"
"addict",2.84,5.64,3.76,1,"male"
"addicted",2.75,4.5,3.65,3,"male"
"admired",7.6,6.4,7.73,17,"male"
"adorable",7.35,5.38,5.31,3,"male"
"adult",6.48,4.72,5.92,25,"male"
"advantage",7.26,5.37,6.37,73,"male"
"adventure",7.23,6.91,6.38,14,"male"
"affection",7.9,6.1,5.2,18,"male"
"afraid",2.42,6.67,5.25,57,"male"
"aggressive",5.58,6.17,6.5,17,"male"
"agility",7.1,4.2,6.1,3,"male"
"agony",2.47,5.47,4.6,9,"male"
"agreement",6.74,4.89,6.47,106,"male"
"air",6.47,4.68,5.21,257,"male"
"alcoholic",3.72,5.36,4.84,3,"male"
"alert",5.55,6.65,6.55,33,"male"
"alien",6.36,5.77,4.32,16,"male"
"alimony",3.21,3.67,4,2,"male"
"alive",6.6,5.35,6.8,57,"male"
"allergy",3.2,4.6,2.95,1,"male"
"alley",4.76,4.62,4.38,8,"male"
"alone",3.07,4.13,3.87,195,"male"
"aloof",5.24,3.88,4.82,5,"male"
"ambition",5.95,5.85,6.2,19,"male"
"ambulance",3,6.6,3.8,6,"male"
"angel",6.8,5.3,4.4,18,"male"
"anger",2.87,6.73,5.47,48,"male"
"angry",3.87,6.67,6.21,45,"male"
"anguished",2.7,4.45,3.7,2,"male"
"ankle",5.63,4.53,4.68,8,"male"
"annoy",3,6.5,5.09,2,"male"
"answer",7,5.68,6.11,152,"male"
"anxious",4.8,6.7,5.8,29,"male"
"applause",7.33,5.83,6.89,14,"male"
"appliance",5.05,4.23,5.09,5,"male"
"arm",5.5,4.4,5.05,94,"male"
"army",4.9,4.65,5.2,132,"male"
"aroused",8,6.22,6.1,20,"male"
"arrogant",4.69,5.12,5.88,2,"male"
"art",5.7,4.6,4.75,208,"male"
"assassin",4.33,5.73,4.86,6,"male"
"assault",2.55,7.17,5.73,15,"male"
"astonished",6.5,6.44,5.18,6,"male"
"astronaut",6.79,4.92,5.33,2,"male"
"athletics",6.76,6.71,6.19,9,"male"
"autumn",5.93,4.87,4.93,22,"male"
"avalanche",3.62,5.29,4,1,"male"
"avenue",5.15,4.4,5.05,46,"male"
"awed",6.35,6.05,4.75,5,"male"
"baby",7.71,6.25,4.56,62,"male"
"bake",6.32,4.7,5.22,12,"male"
"bandage",4,3.8,4.3,4,"male"
"bankrupt",2.24,5.71,2.94,5,"male"
"banner",5.35,3.65,4.8,8,"male"
"bar",7,5.5,5.85,82,"male"
"barrel",5.3,3.75,4.9,24,"male"
"basket",5.6,3.36,5.92,17,"male"
"bath",7.24,4.76,5.72,26,"male"
"bathroom",5.92,3.84,5.72,18,"male"
"bathtub",6.64,5.36,5.73,4,"male"
"beach",8.47,6.88,5.81,61,"male"
"beast",5.1,6,5.65,7,"male"
"beautiful",7.23,6.36,6.1,127,"male"
"beauty",7.47,5.6,5.33,71,"male"
"bed",7.88,4.04,7,127,"male"
"bees",3.24,6.72,4.56,15,"male"
"beggar",3.95,4,4.6,2,"male"
"bench",4.56,3.33,5.06,35,"male"
"bereavement",4.63,4.26,3.95,4,"male"
"betray",1.85,7.17,5.75,4,"male"
"beverage",6.8,5.55,5.8,5,"male"
"bird",6.92,2.67,4.58,31,"male"
"birthday",7.4,6.6,5.4,18,"male"
"black",5.92,4.54,5.88,203,"male"
"blackmail",3,5.2,3,2,"male"
"bland",4.1,3.45,4.95,3,"male"
"blase",5,4.35,4.38,7,"male"
"blasphemy",3.65,4.55,4.75,4,"male"
"bless",6.35,4.12,5.29,9,"male"
"blind",2.71,3.69,3.06,47,"male"
"bliss",7.17,5.06,6.5,4,"male"
"blister",3.48,3.81,4.38,3,"male"
"blond",6.64,6.05,6,11,"male"
"blossom",7.53,5.67,5.53,7,"male"
"blubber",3.83,4.56,4.5,1,"male"
"blue",7.16,4,5.92,143,"male"
"board",4.58,3.26,4.63,239,"male"
"body",5.75,5.6,5.25,276,"male"
"bold",6.25,4.75,6.92,21,"male"
"bomb",2.7,6.7,4.6,36,"male"
"book",5.9,4.15,5.15,193,"male"
"bored",2.82,2.88,4.06,14,"male"
"bottle",6.09,5.45,4.68,76,"male"
"bouquet",6.52,5.1,6.24,4,"male"
"bowl",4.8,3.4,5,23,"male"
"boxer",6.12,5.2,5.48,1,"male"
"boy",5.4,3.73,4.33,242,"male"
"brave",6.76,5.95,7.14,24,"male"
"breeze",6.52,4.29,5.57,14,"male"
"bride",6.7,4.7,5.84,33,"male"
"bright",7.05,5.45,6.15,87,"male"
"broken",3.5,5.39,4.17,63,"male"
"brother",6.83,5.55,5.36,73,"male"
"brutal",3.25,5.65,5.2,7,"male"
"building",5.56,4.08,5.24,160,"male"
"bullet",4.2,5.45,5.2,28,"male"
"bunny",6.71,4.38,4.88,1,"male"
"burdened",2.71,5.46,5.62,4,"male"
"burial",2.62,4.64,3.92,11,"male"
"burn",3.12,6.4,4.52,15,"male"
"bus",4.72,3.32,5.04,34,"male"
"busybody",4.81,4.29,4.57,0,"male"
"butter",5.4,3.3,4.5,27,"male"
"butterfly",6.58,3.45,4.55,2,"male"
"cabinet",5.1,3.45,4.7,17,"male"
"cake",7.27,5.13,5.2,9,"male"
"cancer",1.75,6.83,3.33,25,"male"
"candy",6,4.1,5,16,"male"
"cane",3.58,4.42,4.47,12,"male"
"cannon",5.71,5.14,5.48,7,"male"
"capable",7,5.6,5.73,66,"male"
"car",7.84,5.64,6.6,274,"male"
"carcass",4.21,5.11,5.53,7,"male"
"carefree",7.75,2.67,5.33,9,"male"
"caress",7.58,4.5,6.08,1,"male"
"cash",8.28,7.08,6.76,36,"male"
"casino",6.9,6.76,5.14,2,"male"
"cat",5.33,4.08,6.54,0,"male"
"cell",3.33,3.67,4.12,65,"male"
"cellar",4.45,4.3,4.9,26,"male"
"cemetery",3.42,4.45,4.73,15,"male"
"chair",5.3,3.4,4.7,66,"male"
"champ",7.22,6.22,6.28,1,"male"
"champion",8.42,4.83,6.08,23,"male"
"chance",6.42,5.63,4.74,131,"male"
"chaos",4.5,6.3,4,17,"male"
"charm",6.67,5.47,5.87,26,"male"
"cheer",7.7,5.95,5.55,8,"male"
"child",6.15,5.75,5.35,213,"male"
"chin",5.36,3.64,5.41,27,"male"
"chocolate",6.8,4.88,5.36,9,"male"
"christmas",7.58,6.05,5.37,27,"male"
"church",5.29,4.69,4.62,348,"male"
"circle",5.3,3.65,5.16,60,"male"
"circus",6.76,5.38,5,7,"male"
"city",5.67,4.53,4.53,393,"male"
"cliff",4.96,5.88,5.04,11,"male"
"clock",4.86,3.95,4.59,20,"male"
"clothing",5.93,4.15,5.33,20,"male"
"clouds",6.42,3.46,5.46,38,"male"
"clumsy",4.06,4.78,4.06,6,"male"
"coarse",4.65,4.5,5.05,10,"male"
"coast",6.06,4.83,5.71,61,"male"
"cockroach",3.73,5.33,5.47,2,"male"
"coffin",3,4.3,4.2,7,"male"
"coin",5.76,4.48,5.86,10,"male"
"cold",3.9,5.4,4.65,171,"male"
"color",7.05,4.63,6.32,141,"male"
"column",5.15,3.7,5.25,71,"male"
"comedy",8,6.36,4.82,39,"male"
"comfort",6.45,4.35,5.7,43,"male"
"computer",6.12,4.52,5.08,13,"male"
"concentrate",4.83,4.73,4.82,11,"male"
"confident",7.73,6.53,7.2,16,"male"
"confused",3.27,5.55,4.33,44,"male"
"consoled",5.71,4.94,4.81,2,"male"
"contempt",4.2,4.9,5.5,15,"male"
"contents",4.73,4.07,4.87,16,"male"
"context",5.2,4.35,4.9,2,"male"
"controlling",4.53,5.6,6.07,23,"male"
"cook",6.05,4.21,5.42,47,"male"
"cord",4.95,3.84,5,6,"male"
"cork",5.16,3.89,4.89,9,"male"
"corner",4.33,3.62,3.86,115,"male"
"corpse",2.5,4.2,2.6,7,"male"
"corridor",4.86,3.62,5.1,17,"male"
"corrupt",4.15,5.05,4.9,8,"male"
"cottage",5.87,4.2,4.93,19,"male"
"couple",6.84,5.36,6.08,122,"male"
"cow",5.72,3.12,5.8,29,"male"
"coward",2.75,3.9,2.75,8,"male"
"cozy",7.53,3.73,4.67,1,"male"
"crash",2.6,7,4,20,"male"
"crime",3.55,5,4.68,34,"male"
"criminal",3.25,3.86,3.65,24,"male"
"crisis",4.17,4.89,4.72,82,"male"
"crown",6.2,3.4,5.1,19,"male"
"crucify",2.53,5.8,3.8,2,"male"
"crude",3.74,5,4.84,15,"male"
"cruel",2.64,5.27,4.93,15,"male"
"crushed",2.83,5.73,4.73,10,"male"
"crutch",3.94,4.5,3.67,1,"male"
"cuddle",7.3,5.1,5.75,0,"male"
"cuisine",6.89,4.83,5.5,1,"male"
"curious",6.8,5.8,5.7,46,"male"
"curtains",5,3.65,5.11,8,"male"
"custom",5.53,4.67,4.87,14,"male"
"cut",3.7,4.75,4.9,192,"male"
"cute",7.24,6.38,4.88,5,"male"
"cyclone",4.35,6.2,5.1,0,"male"
"dagger",4.53,5.47,4.47,1,"male"
"damage",3.7,5.05,4.2,33,"male"
"dancer",6.8,5.32,5.64,31,"male"
"danger",4.56,7.17,4.56,70,"male"
"dark",4.9,4.48,4.38,185,"male"
"dawn",6.1,4.35,4.95,28,"male"
"daylight",6.56,5.17,5.61,15,"male"
"dazzle",7.33,6.38,5.19,1,"male"
"dead",2.48,5.4,2.96,174,"male"
"death",1.69,4.41,4.62,277,"male"
"debt",2.4,4.33,3,13,"male"
"deceit",3.26,5.63,4.63,2,"male"
"decompose",3.95,4.2,4.45,1,"male"
"decorate",6.5,5,5.9,2,"male"
"defeated",2.42,4.35,3,15,"male"
"defiant",4.64,5.27,4.91,3,"male"
"deformed",2.95,3.62,4.29,0,"male"
"delayed",3.15,5.1,3.4,25,"male"
"delight",7.92,5.73,5.09,29,"male"
"demon",3.2,5.93,5.07,9,"male"
"dentist",3.56,5.6,3.6,12,"male"
"depressed",2.33,4,2.87,11,"male"
"depression",2.6,4.55,2.9,24,"male"
"derelict",4.45,4.1,4.95,1,"male"
"deserter",3.53,4.8,4.8,0,"male"
"desire",7.72,7.24,6.2,79,"male"
"despairing",2.93,5.6,4.07,4,"male"
"despise",2.08,5.86,5.38,7,"male"
"destroy",4,6.3,6.1,48,"male"
"destruction",4.78,6.17,5.11,38,"male"
"detached",3.82,4.19,3.73,12,"male"
"detail",5.73,4.36,5.45,72,"male"
"detest",2.8,5.8,5.8,1,"male"
"devil",2.59,5.06,5.82,25,"male"
"devoted",7.1,5.7,4.9,51,"male"
"diamond",7.92,5,5.36,8,"male"
"dignified",6.82,3.41,6.06,7,"male"
"dinner",7.48,5.52,6.48,91,"male"
"diploma",7.64,5.64,6.42,0,"male"
"dirt",4.41,3.41,4.95,43,"male"
"dirty",3.88,5.21,4.83,36,"male"
"disappoint",2.6,4.6,3.53,0,"male"
"disaster",2.25,6.05,3.65,26,"male"
"discomfort",2.41,3.73,3.68,7,"male"
"discouraged",3,4,3.2,15,"male"
"disdainful",3.93,4.67,4.87,2,"male"
"disgusted",2.6,4.47,4.8,6,"male"
"disloyal",2.38,5.82,4.81,2,"male"
"displeased",2.76,4.81,4.75,7,"male"
"distressed",2,6.42,5,4,"male"
"disturb",3.67,5.72,4.06,10,"male"
"diver",6.6,4.96,5.2,1,"male"
"divorce",2.4,5.3,3.75,29,"male"
"doctor",4.67,5.53,5.07,100,"male"
"dog",7.68,5.4,6.44,75,"male"
"doll",5.05,3.37,4.16,10,"male"
"dollar",7.24,6.43,6.86,46,"male"
"door",5.16,4.32,4.79,312,"male"
"dove",6.45,4.55,6,4,"male"
