"Word","Valence.M","Arousal.M","Dominance.M","Word.Frequency","Valence.F","Arousal.F","Dominance.F","Freq.Bin","Freq.Colour"
"consoled",5.71,4.94,4.81,2,5.85,4.2,4.15,"LOW","blue"
"contempt",4.2,4.9,5.5,15,3.72,5.41,5,"MID","darkgreen"
"contents",4.73,4.07,4.87,16,4.97,4.44,4.84,"MID","darkgreen"
"context",5.2,4.35,4.9,2,5.19,4.12,5.38,"LOW","blue"
"controlling",4.53,5.6,6.07,23,3.38,6.38,4.65,"MID","darkgreen"
"cook",6.05,4.21,5.42,47,6.24,4.62,4.92,"HIGH","red"
"cord",4.95,3.84,5,6,5.23,3.27,5,"LOW","blue"
"cork",5.16,3.89,4.89,9,5.27,3.73,5.05,"MID","darkgreen"
"corner",4.33,3.62,3.86,115,4.38,4.38,4.36,"HIGH","red"
"corpse",2.5,4.2,2.6,7,2.07,4.93,3.93,"MID","darkgreen"
"corridor",4.86,3.62,5.1,17,4.9,3.65,4.9,"MID","darkgreen"
"corrupt",4.15,5.05,4.9,8,2.52,4.52,4.41,"MID","darkgreen"
"cottage",5.87,4.2,4.93,19,6.83,2.87,5.7,"MID","darkgreen"
"couple",6.84,5.36,6.08,122,7.96,7.38,5.96,"HIGH","red"
"cow",5.72,3.12,5.8,29,5.42,3.85,4.84,"MID","darkgreen"
"coward",2.75,3.9,2.75,8,2.73,4.23,2.91,"MID","darkgreen"
"cozy",7.53,3.73,4.67,1,7.3,3.04,5.04,"LOW","blue"
"crash",2.6,7,4,20,2.21,6.93,3.24,"MID","darkgreen"
"crime",3.55,5,4.68,34,2.33,5.75,3.67,"HIGH","red"
"criminal",3.25,3.86,3.65,24,2.62,5.68,3.05,"MID","darkgreen"
"crisis",4.17,4.89,4.72,82,1.72,6.08,2.75,"HIGH","red"
"crown",6.2,3.4,5.1,19,6.73,4.62,6.42,"MID","darkgreen"
"crucify",2.53,5.8,3.8,2,2.09,6.78,3.72,"LOW","blue"
"crude",3.74,5,4.84,15,2.59,5.14,3.77,"MID","darkgreen"
"cruel",2.64,5.27,4.93,15,1.57,5.96,3.78,"MID","darkgreen"
"crushed",2.83,5.73,4.73,10,1.86,5.41,2.68,"MID","darkgreen"
"crutch",3.94,4.5,3.67,1,3.08,3.88,4.08,"LOW","blue"
"cuddle",7.3,5.1,5.75,0,8.15,3.7,5.95,"LOW","blue"
"cuisine",6.89,4.83,5.5,1,6.46,4.08,5.35,"LOW","blue"
"curious",6.8,5.8,5.7,46,5.82,5.82,5.32,"HIGH","red"
"curtains",5,3.65,5.11,8,4.68,3.68,5,"MID","darkgreen"
"custom",5.53,4.67,4.87,14,6.04,4.65,5.08,"MID","darkgreen"
"cut",3.7,4.75,4.9,192,3.58,5.21,4.54,"HIGH","red"
"cute",7.24,6.38,4.88,5,7.95,4.85,4.85,"LOW","blue"
"cyclone",4.35,6.2,5.1,0,3,6.48,4.72,"LOW","blue"
"dagger",4.53,5.47,4.47,1,2.6,6.58,4.56,"LOW","blue"
"damage",3.7,5.05,4.2,33,2.45,6.05,3.59,"HIGH","red"
"dancer",6.8,5.32,5.64,31,7.46,6.65,6.38,"HIGH","red"
"danger",4.56,7.17,4.56,70,1.85,7.42,2.92,"HIGH","red"
"dark",4.9,4.48,4.38,185,4.52,4.29,5.27,"HIGH","red"
"dawn",6.1,4.35,4.95,28,6.21,4.42,5.33,"MID","darkgreen"
"daylight",6.56,5.17,5.61,15,6.96,4.5,5.38,"MID","darkgreen"
"dazzle",7.33,6.38,5.19,1,7.24,6.27,6.05,"LOW","blue"
"dead",2.48,5.4,2.96,174,1.42,6.04,2.73,"HIGH","red"
"death",1.69,4.41,4.62,277,1.55,4.75,2.55,"HIGH","red"
"debt",2.4,4.33,3,13,2.12,6.46,3.04,"MID","darkgreen"
"deceit",3.26,5.63,4.63,2,2.57,6,3.33,"LOW","blue"
"decompose",3.95,4.2,4.45,1,2.62,5,3.69,"LOW","blue"
"decorate",6.5,5,5.9,2,7.32,5.52,6.19,"LOW","blue"
"defeated",2.42,4.35,3,15,2.28,5.65,3.19,"MID","darkgreen"
"defiant",4.64,5.27,4.91,3,4.11,6.41,6.11,"LOW","blue"
"deformed",2.95,3.62,4.29,0,1.85,4.55,3.6,"LOW","blue"
"delayed",3.15,5.1,3.4,25,3,6.09,3.86,"MID","darkgreen"
"delight",7.92,5.73,5.09,29,8.43,5.3,6.13,"MID","darkgreen"
"demon",3.2,5.93,5.07,9,1.39,7.32,4.78,"MID","darkgreen"
"dentist",3.56,5.6,3.6,12,4.46,5.85,4,"MID","darkgreen"
"depressed",2.33,4,2.87,11,1.58,5.06,2.68,"MID","darkgreen"
"depression",2.6,4.55,2.9,24,1.27,4.54,2.92,"MID","darkgreen"
"derelict",4.45,4.1,4.95,1,4.1,4.09,4.62,"LOW","blue"
"deserter",3.53,4.8,4.8,0,1.9,5.86,3.24,"LOW","blue"
"desire",7.72,7.24,6.2,79,7.65,7.46,6.77,"HIGH","red"
"despairing",2.93,5.6,4.07,4,2.19,5.72,3.12,"LOW","blue"
"despise",2.08,5.86,5.38,7,2,6.52,4.38,"MID","darkgreen"
"destroy",4,6.3,6.1,48,2.12,7.04,4.5,"HIGH","red"
"destruction",4.78,6.17,5.11,38,2.04,5.58,3.12,"HIGH","red"
"detached",3.82,4.19,3.73,12,3.88,4.31,3.58,"MID","darkgreen"
"detail",5.73,4.36,5.45,72,5.35,3.8,4.95,"HIGH","red"
"detest",2.8,5.8,5.8,1,1.92,6.15,5.85,"LOW","blue"
"devil",2.59,5.06,5.82,25,1.96,6.76,5.04,"MID","darkgreen"
"devoted",7.1,5.7,4.9,51,7.52,5.07,6.62,"HIGH","red"
"diamond",7.92,5,5.36,8,7.92,5.8,5.64,"MID","darkgreen"
"dignified",6.82,3.41,6.06,7,7.29,4.62,6.15,"MID","darkgreen"
"dinner",7.48,5.52,6.48,91,6.85,5.35,5.73,"HIGH","red"
"diploma",7.64,5.64,6.42,0,8.18,5.68,6.95,"LOW","blue"
"dirt",4.41,3.41,4.95,43,3.9,4.15,4.7,"HIGH","red"
"dirty",3.88,5.21,4.83,36,2.35,4.58,4.58,"HIGH","red"
"disappoint",2.6,4.6,3.53,0,2.26,5.13,3.13,"LOW","blue"
"disaster",2.25,6.05,3.65,26,1.2,6.6,3.4,"MID","darkgreen"
"discomfort",2.41,3.73,3.68,7,1.95,4.65,4.05,"MID","darkgreen"
"discouraged",3,4,3.2,15,3,4.87,3.87,"MID","darkgreen"
"disdainful",3.93,4.67,4.87,2,3.56,5.22,4.41,"LOW","blue"
"disgusted",2.6,4.47,4.8,6,2.35,6.04,4.04,"LOW","blue"
"disloyal",2.38,5.82,4.81,2,1.65,7.04,3.15,"LOW","blue"
"displeased",2.76,4.81,4.75,7,2.81,6.15,3.85,"MID","darkgreen"
"distressed",2,6.42,5,4,1.91,6.39,3.17,"LOW","blue"
"disturb",3.67,5.72,4.06,10,3.65,5.85,4.88,"MID","darkgreen"
"diver",6.6,4.96,5.2,1,6.31,5.12,4.88,"LOW","blue"
"divorce",2.4,5.3,3.75,29,2.08,7.16,2.88,"MID","darkgreen"
"doctor",4.67,5.53,5.07,100,5.48,6.04,4.79,"HIGH","red"
"dog",7.68,5.4,6.44,75,7.46,6.12,6.08,"HIGH","red"
"doll",5.05,3.37,4.16,10,6.88,4.88,4.96,"MID","darkgreen"
"dollar",7.24,6.43,6.86,46,7.74,6,5.74,"HIGH","red"
"door",5.16,4.32,4.79,312,5.12,3.42,4.62,"HIGH","red"
"dove",6.45,4.55,6,4,7.32,3.09,5,"LOW","blue"
"dreadful",2.38,5.71,5.06,10,2.19,5.92,3.5,"MID","darkgreen"
"dream",6.47,4.42,4.84,64,6.92,4.62,6.04,"HIGH","red"
"dreary",3.24,3.05,3.81,6,2.86,2.91,3.81,"LOW","blue"
"dress",5.87,4.67,4.6,67,6.77,3.65,5.26,"HIGH","red"
"drown",1.96,6.68,2.76,3,1.88,6.46,2.96,"LOW","blue"
"dummy",3,4.38,3.48,3,3.76,4.32,3.86,"LOW","blue"
"dump",3.71,4.38,4.05,4,2.73,4.05,3.62,"LOW","blue"
"dustpan",4.24,3.36,5.4,0,3.73,3.5,5.5,"LOW","blue"
"earth",6.79,4.08,6.69,150,7.35,4.32,5.04,"HIGH","red"
"easy",7.09,5.55,7.18,125,7.11,3.47,6.79,"HIGH","red"
"easygoing",6.75,4,5.08,1,7.38,4.43,5.32,"LOW","blue"
"eat",8,6.6,6,61,7.05,5,5.3,"HIGH","red"
"ecstasy",8.14,7.82,7.1,6,7.8,6.9,6.25,"LOW","blue"
"education",6.55,5.6,5.85,214,6.8,5.85,6.38,"HIGH","red"
"egg",5.11,3.63,4.26,12,5.42,4,4.67,"MID","darkgreen"
"elated",7.47,6.2,5.53,3,7.43,6.22,5.52,"LOW","blue"
"elbow",4.9,3.7,4.8,10,5.32,4.1,4.95,"MID","darkgreen"
"elegant",7.08,4.92,5.5,14,7.56,4.39,6.13,"MID","darkgreen"
"elevator",5.1,3.57,4,12,5.76,4.73,4.62,"MID","darkgreen"
"embarrassed",3.93,5.87,3.47,8,2.43,5.87,2.48,"MID","darkgreen"
"embattled",5,5.9,5.1,1,4.15,5.15,4.69,"LOW","blue"
"employment",5.73,5.33,4.6,47,6.72,5.2,6.02,"HIGH","red"
"engaged",7.33,6.07,6.2,47,8.34,7.14,6.64,"HIGH","red"
"engine",5.27,4.93,5.13,50,5.09,3.66,4.97,"HIGH","red"
"enjoyment",7.7,5.7,6.35,21,7.88,4.8,6.54,"MID","darkgreen"
"ennui",5.17,3.92,5,0,5.06,4.58,4.55,"LOW","blue"
"enraged",2.3,7.9,7.7,1,2.52,8,5.86,"LOW","blue"
"errand",4.36,4,5.62,7,4.88,4.08,4.24,"MID","darkgreen"
"event",6.41,5.59,5.73,81,6,4.55,5.3,"HIGH","red"
"evil",4.33,6.56,6.17,72,2.46,6.27,4.62,"HIGH","red"
"excellence",8.3,4.7,7.4,15,8.41,5.83,7.24,"MID","darkgreen"
"excitement",6.87,6.93,5.6,32,7.83,8.07,6.48,"HIGH","red"
"excuse",3.82,4.88,3.71,27,4.19,4.2,4.32,"MID","darkgreen"
"execution",3.27,5.53,4.27,15,1.78,5.83,4,"MID","darkgreen"
"exercise",6.93,7.13,6.07,58,7.26,6.65,5.43,"HIGH","red"
"fabric",5.21,3.95,4.79,15,5.38,4.32,5.24,"MID","darkgreen"
"face",6.12,4.76,5.28,371,6.65,5.31,6.04,"HIGH","red"
"failure",2.27,4,2.67,89,1.36,5.52,2.24,"HIGH","red"
"fall",3.86,4.81,4.29,147,4.32,4.81,3.71,"HIGH","red"
"FALSE",3.24,3.27,4.38,29,3.3,3.6,3.8,"MID","darkgreen"
"fame",7.92,5.17,6.5,18,7.93,7.14,7,"MID","darkgreen"
"family",7.5,5,6,331,7.77,4.64,6,"HIGH","red"
"famous",7.39,6.11,6.61,89,6.69,5.68,6.12,"HIGH","red"
"fantasy",7.39,6,6.72,14,7.42,4.54,6.23,"MID","darkgreen"
"farm",5.4,3.6,5.68,125,5.65,4.19,5.5,"HIGH","red"
"fascinate",7.13,6.07,5.67,3,7.44,5.72,6.38,"LOW","blue"
"fat",2.94,2.82,5.56,60,1.75,6.5,3.6,"HIGH","red"
"father",6.8,5.47,3.8,383,7.26,6.22,6.83,"HIGH","red"
"fatigued",3.56,2.69,4.35,3,3.05,2.6,3.3,"LOW","blue"
"fault",3.14,3.73,4.09,22,3.75,4.45,3.95,"MID","darkgreen"
"favor",6.58,4.89,5.44,78,6.36,4.23,5.86,"HIGH","red"
"fear",3.75,6.71,3.88,127,1.85,7.19,2.62,"HIGH","red"
"fearful",2.1,5.5,3.5,13,2.31,6.65,3.69,"MID","darkgreen"
"feeble",3.59,3.94,2.88,8,3.04,4.2,2.6,"MID","darkgreen"
"festive",7.26,6.63,5.67,2,7.32,6.54,5.84,"LOW","blue"
"fever",3.05,3.8,3.68,19,2.48,4.73,3.38,"MID","darkgreen"
"field",6.08,4.04,5.68,274,6.31,4.12,6,"HIGH","red"
"fight",4.81,6.9,5.71,98,2.65,7.4,4.8,"HIGH","red"
"filth",3.12,3.94,4.5,2,2.04,5.85,3.38,"LOW","blue"
"finger",5.29,4.05,5.24,40,5.3,3.5,4.85,"HIGH","red"
"fire",4.2,6.5,5.2,187,2.85,7.44,4.2,"HIGH","red"
"fireworks",7.8,6.56,5.56,5,7.31,6.77,5.46,"LOW","blue"
"fish",6.2,3.84,6.48,35,5.88,4.15,5.58,"HIGH","red"
"flabby",4.16,3.68,4.37,0,1.52,5.68,2.54,"LOW","blue"
"flag",5.9,5.4,5.65,16,6.14,3.86,5.36,"MID","darkgreen"
"flirt",7.48,6.9,6.45,1,7.57,6.91,6.05,"LOW","blue"
"flood",3.75,5.9,3.9,19,2.68,6.09,2.64,"MID","darkgreen"
"flower",6.06,4.6,4.73,23,7,3.65,5.12,"MID","darkgreen"
"foam",5.45,4.25,5.1,37,6.67,6.18,5.38,"HIGH","red"
"food",7.88,5.4,6.72,147,7.42,6.42,5.65,"HIGH","red"
"foot",5.06,3.5,5.17,70,5,3.12,4.85,"HIGH","red"
"fork",5.48,4.04,5.83,14,5.12,3.88,5.65,"MID","darkgreen"
"foul",2.94,5.18,4.71,4,2.73,4.76,4.38,"LOW","blue"
"fragrance",6.24,5.75,5.62,6,5.96,4.19,4.85,"LOW","blue"
"fraud",2.7,5.3,4.7,8,2.65,5.92,3.15,"MID","darkgreen"
"free",7.83,5.09,5.73,260,8.48,5.17,6.65,"HIGH","red"
"freedom",7.53,6.25,6.38,128,7.62,5.08,7,"HIGH","red"
