"poundGuesses"	"kgGuesses"
647	293.557
647	293.557
647	293.557
648	294.011
648	294.011
648	294.011
648	294.011
648	294.011
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
650	294.918
651	295.372
651	295.372
652	295.826
652	295.826
652	295.826
652	295.826
652	295.826
652	295.826
652	295.826
652	295.826
652	295.826
652	295.826
652	295.826
652	295.826
652	295.826
652	295.826
652	295.826
653	296.279
653	296.279
653	296.279
653	296.279
653	296.279
653	296.279
653	296.279
653	296.279
653	296.279
653	296.279
654	296.733
654	296.733
654	296.733
655	297.187
655	297.187
655	297.187
655	297.187
655	297.187
655	297.187
656	297.641
656	297.641
656	297.641
656	297.641
656	297.641
657	298.094
657	298.094
657	298.094
657	298.094
657.48	298.312
658	298.548
658	298.548
658	298.548
658	298.548
658	298.548
658	298.548
658	298.548
659	299.002
659	299.002
659	299.002
660	299.456
660	299.456
660	299.456
660	299.456
660	299.456
660	299.456
660	299.456
660	299.456
660	299.456
660	299.456
660	299.456
660	299.456
660	299.456
660	299.456
660	299.456
660	299.456
660	299.456
660	299.456
660	299.456
660	299.456
660	299.456
660	299.456
660	299.456
660	299.456
660	299.456
660	299.456
660	299.456
660	299.456
660	299.456
660	299.456
660	299.456
660	299.456
660	299.456
661	299.909
662	300.363
662	300.363
662	300.363
662	300.363
663	300.817
663	300.817
663	300.817
664	301.27
664	301.27
664	301.27
665	301.724
665	301.724
665	301.724
665	301.724
665	301.724
665	301.724
665	301.724
665	301.724
665	301.724
666	302.178
666	302.178
666	302.178
666	302.178
666	302.178
667	302.632
668	303.085
668	303.085
668	303.085
668	303.085
669	303.539
669	303.539
670	303.993
670	303.993
670	303.993
670	303.993
670	303.993
670	303.993
670	303.993
670	303.993
671	304.446
672	304.9
672	304.9
672	304.9
672	304.9
672	304.9
672	304.9
672	304.9
672	304.9
672	304.9
672	304.9
672	304.9
672	304.9
672	304.9
672	304.9
672	304.9
672	304.9
672	304.9
672	304.9
672	304.9
672.5	305.127
673	305.354
673	305.354
673	305.354
673	305.354
673	305.354
673	305.354
673	305.354
674	305.808
674	305.808
674	305.808
674	305.808
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
675	306.261
676	306.715
676	306.715
676	306.715
676	306.715
676	306.715
677	307.169
678	307.623
678	307.623
678	307.623
678	307.623
678	307.623
678	307.623
678	307.623
678	307.623
678	307.623
678	307.623
678	307.623
678	307.623
678	307.623
679	308.076
680	308.53
680	308.53
680	308.53
680	308.53
680	308.53
680	308.53
680	308.53
680	308.53
680	308.53
680	308.53
680	308.53
680	308.53
680	308.53
680	308.53
680	308.53
680	308.53
680	308.53
680	308.53
680	308.53
680	308.53
680	308.53
680	308.53
680	308.53
680	308.53
680	308.53
680	308.53
681	308.984
682	309.437
682	309.437
682	309.437
682	309.437
682	309.437
683	309.891
683	309.891
683	309.891
683	309.891
683	309.891
683	309.891
684	310.345
684	310.345
684	310.345
684	310.345
685	310.799
685	310.799
685	310.799
685	310.799
685	310.799
685	310.799
