"participant","pretest.reg","gender","phase","weak.past","strong.past","category","sensibility","partnerRegCondition","item.reg.mean","response","regular","age"
"s6036",0.192307692307692,"Male","posttest","zelled","zelt","burnt","sensible","decrease",0.639,"zelled",TRUE,23
"s6036",0.192307692307692,"Male","posttest","trurned","trurnt","burnt","sensible","decrease",0.718,"trurnt",FALSE,23
"s6036",0.192307692307692,"Male","posttest","shreened","shrent","kept","sensible","decrease",0.693,"shrent",FALSE,23
"s6036",0.192307692307692,"Male","posttest","sminked","smank","sang","sensible","decrease",0.579,"smank",FALSE,23
"s6036",0.192307692307692,"Male","posttest","sleeled","slelt","kept","sensible","decrease",0.55,"slelt",FALSE,23
"s6036",0.192307692307692,"Male","posttest","squined","squone","drove","sensible","decrease",0.678,"squone",FALSE,23
"s6036",0.192307692307692,"Male","posttest","skrurned","skrurnt","burnt","sensible","decrease",0.668,"skrurnt",FALSE,23
"s6036",0.192307692307692,"Male","posttest","grinked","grank","sang","sensible","decrease",0.47,"grank",FALSE,23
"s6036",0.192307692307692,"Male","posttest","vinked","vank","sang","sensible","decrease",0.624,"vank",FALSE,23
"s6036",0.192307692307692,"Male","posttest","dwilled","dwilt","burnt","sensible","decrease",0.673,"dwilt",FALSE,23
"s6036",0.192307692307692,"Male","posttest","splinged","splang","sang","sensible","decrease",0.401,"splang",FALSE,23
"s6036",0.192307692307692,"Male","posttest","murned","murnt","burnt","sensible","decrease",0.723,"murnt",FALSE,23
"s6036",0.192307692307692,"Male","posttest","snurned","snurnt","burnt","sensible","decrease",0.757,"snurnt",FALSE,23
"s6036",0.192307692307692,"Male","posttest","fleeled","flelt","kept","sensible","decrease",0.525,"flelt",FALSE,23
"s6036",0.192307692307692,"Male","posttest","fimmed","fam","sang","sensible","decrease",0.772,"fimmed",TRUE,23
"s6036",0.192307692307692,"Male","posttest","twinked","twank","sang","sensible","decrease",0.594,"twank",FALSE,23
"s6036",0.192307692307692,"Male","posttest","quinged","quang","sang","sensible","decrease",0.53,"quang",FALSE,23
"s6036",0.192307692307692,"Male","posttest","beeved","bove","drove","sensible","decrease",0.574,"bove",FALSE,23
"s6036",0.192307692307692,"Male","posttest","greemed","gremt","kept","sensible","decrease",0.629,"gremt",FALSE,23
"s6036",0.192307692307692,"Male","posttest","schmimmed","schmam","sang","sensible","decrease",0.634,"schmam",FALSE,23
"s6036",0.192307692307692,"Male","posttest","swited","swote","drove","sensible","decrease",0.46,"swote",FALSE,23
"s6036",0.192307692307692,"Male","posttest","streened","strent","kept","sensible","decrease",0.718,"strent",FALSE,23
"s6036",0.192307692307692,"Male","posttest","surned","surnt","burnt","sensible","decrease",0.698,"surnt",FALSE,23
"s6036",0.192307692307692,"Male","posttest","dweeped","dwept","kept","sensible","decrease",0.426,"dwept",FALSE,23
"s6036",0.192307692307692,"Male","posttest","shrided","shrode","drove","sensible","decrease",0.376,"shrode",FALSE,23
"s6036",0.192307692307692,"Male","posttest","sprurned","sprurnt","burnt","sensible","decrease",0.688,"sprurnt",FALSE,23
"s6036",0.192307692307692,"Male","posttest","skrinked","skrank","sang","sensible","decrease",0.45,"skrank",FALSE,23
"s6036",0.192307692307692,"Male","posttest","skurned","skurnt","burnt","sensible","decrease",0.733,"skurnt",FALSE,23
"s6036",0.192307692307692,"Male","posttest","klided","klode","drove","sensible","decrease",0.495,"klode",FALSE,23
"s6036",0.192307692307692,"Male","posttest","glined","glone","drove","sensible","decrease",0.619,"glone",FALSE,23
"s6036",0.192307692307692,"Male","posttest","snined","snone","drove","sensible","decrease",0.644,"snone",FALSE,23
"s6036",0.192307692307692,"Male","posttest","gimmed","gam","sang","sensible","decrease",0.728,"gimmed",TRUE,23
"s6036",0.192307692307692,"Male","posttest","vrinked","vrank","sang","sensible","decrease",0.515,"vrank",FALSE,23
"s6036",0.192307692307692,"Male","posttest","slilled","slilt","burnt","sensible","decrease",0.693,"slilt",FALSE,23
"s6036",0.192307692307692,"Male","posttest","spreemed","spremt","kept","sensible","decrease",0.639,"spremt",FALSE,23
"s6036",0.192307692307692,"Male","posttest","skrined","skrone","drove","sensible","decrease",0.599,"skrone",FALSE,23
"s6036",0.192307692307692,"Male","posttest","skelled","skelt","burnt","sensible","decrease",0.584,"skelt",FALSE,23
"s6036",0.192307692307692,"Male","posttest","dwinged","dwang","sang","sensible","decrease",0.485,"dwang",FALSE,23
"s6036",0.192307692307692,"Male","posttest","dreeped","drept","kept","sensible","decrease",0.441,"drept",FALSE,23
"s6036",0.192307692307692,"Male","posttest","strinked","strank","sang","sensible","decrease",0.416,"strank",FALSE,23
"s6036",0.192307692307692,"Male","posttest","drelled","drelt","burnt","sensible","decrease",0.653,"drelt",FALSE,23
"s6036",0.192307692307692,"Male","posttest","prilled","prilt","burnt","sensible","decrease",0.713,"prilt",FALSE,23
"s6036",0.192307692307692,"Male","posttest","preemed","premt","kept","sensible","decrease",0.678,"premt",FALSE,23
"s6036",0.192307692307692,"Male","posttest","skeeped","skept","kept","sensible","decrease",0.485,"skept",FALSE,23
"s6036",0.192307692307692,"Male","posttest","sprided","sprode","drove","sensible","decrease",0.347,"sprode",FALSE,23
"s6036",0.192307692307692,"Male","posttest","fided","fode","drove","sensible","decrease",0.485,"fode",FALSE,23
"s6036",0.192307692307692,"Male","posttest","kleeled","klelt","kept","sensible","decrease",0.554,"klelt",FALSE,23
"s6036",0.192307692307692,"Male","posttest","snited","snote","drove","sensible","decrease",0.53,"snote",FALSE,23
"s6036",0.192307692307692,"Male","posttest","dwided","dwode","drove","sensible","decrease",0.416,"dwode",FALSE,23
"s6036",0.192307692307692,"Male","posttest","cheemed","chemt","kept","sensible","decrease",0.733,"chemt",FALSE,23
"s6036",0.192307692307692,"Male","posttest","thided","thode","drove","sensible","decrease",0.436,"thode",FALSE,23
"s6036",0.192307692307692,"Male","posttest","neened","nent","kept","sensible","decrease",0.663,"nent",FALSE,23
"s6037",0.423076923076923,"Female","posttest","twited","twote","drove","sensible","decrease",0.446,"twote",FALSE,23
"s6037",0.423076923076923,"Female","posttest","shreeped","shrept","kept","sensible","decrease",0.46,"shrept",FALSE,23
"s6037",0.423076923076923,"Female","posttest","spinged","spang","sang","sensible","decrease",0.401,"spang",FALSE,23
"s6037",0.423076923076923,"Female","posttest","pringed","prang","sang","sensible","decrease",0.465,"prang",FALSE,23
"s6037",0.423076923076923,"Female","posttest","squited","squote","drove","sensible","decrease",0.505,"squote",FALSE,23
"s6037",0.423076923076923,"Female","posttest","pleeled","plelt","kept","sensible","decrease",0.574,"plelt",FALSE,23
"s6037",0.423076923076923,"Female","posttest","vurned","vurnt","burnt","sensible","decrease",0.668,"vurnt",FALSE,23
"s6037",0.423076923076923,"Female","posttest","skeened","skent","kept","sensible","decrease",0.688,"skent",FALSE,23
