"participant","gender","yearOfBirth","age","phase","category","sensibility","partnerRegCondition","item.reg.mean","strong.past","weak.past","response","regular"
"s6031","Female",1969,46,"posttest","kept","sensible","increase",0.416,"thept","theeped","thept",FALSE
"s6031","Female",1969,46,"pretest","kept","sensible","increase",0.673,"femt","feemed","femt",FALSE
"s6031","Female",1969,46,"pretest","sang","sensible","increase",0.733,"zam","zimmed","zimmed",TRUE
"s6031","Female",1969,46,"posttest","burnt","sensible","increase",0.772,"vrilt","vrilled","vrilt",FALSE
"s6031","Female",1969,46,"pretest","burnt","sensible","increase",0.668,"smilt","smilled","smilled",TRUE
"s6031","Female",1969,46,"pretest","drove","sensible","increase",0.401,"yode","yided","yode",FALSE
"s6031","Female",1969,46,"pretest","burnt","sensible","increase",0.772,"strilt","strilled","strilt",FALSE
"s6031","Female",1969,46,"posttest","sang","sensible","increase",0.45,"shang","shinged","shinged",TRUE
"s6031","Female",1969,46,"posttest","burnt","sensible","increase",0.723,"swurnt","swurned","swurned",TRUE
"s6031","Female",1969,46,"posttest","drove","sensible","increase",0.579,"chote","chited","chote",FALSE
"s6031","Female",1969,46,"posttest","sang","sensible","increase",0.647,"nank","ninked","ninked",TRUE
"s6031","Female",1969,46,"pretest","kept","sensible","increase",0.475,"swelt","sweeled","sweeled",TRUE
"s6031","Female",1969,46,"posttest","drove","sensible","increase",0.446,"twote","twited","twited",TRUE
"s6031","Female",1969,46,"posttest","burnt","sensible","increase",0.554,"brurnt","brurned","brurned",TRUE
"s6032","Male",1992,23,"pretest","kept","sensible","increase",0.678,"premt","preemed","preemed",TRUE
"s6032","Male",1992,23,"posttest","sang","sensible","increase",0.584,"glang","glinged","glang",FALSE
"s6032","Male",1992,23,"pretest","kept","sensible","increase",0.639,"spremt","spreemed","spreemed",TRUE
"s6032","Male",1992,23,"posttest","kept","sensible","increase",0.441,"zept","zeeped","zept",FALSE
"s6032","Male",1992,23,"posttest","sang","sensible","increase",0.411,"thrang","thringed","thrang",FALSE
"s6032","Male",1992,23,"posttest","drove","sensible","increase",0.658,"jone","jined","jone",FALSE
"s6032","Male",1992,23,"pretest","burnt","sensible","increase",0.698,"surnt","surned","surned",TRUE
"s6032","Male",1992,23,"pretest","drove","sensible","increase",0.619,"glone","glined","glone",FALSE
"s6032","Male",1992,23,"pretest","sang","sensible","increase",0.416,"strank","strinked","strank",FALSE
"s6032","Male",1992,23,"pretest","drove","sensible","increase",0.678,"squone","squined","squined",TRUE
"s6032","Male",1992,23,"posttest","sang","sensible","increase",0.614,"jank","jinked","jank",FALSE
"s6032","Male",1992,23,"pretest","kept","sensible","increase",0.693,"shrent","shreened","shreened",TRUE
"s6032","Male",1992,23,"posttest","kept","sensible","increase",0.431,"snept","sneeped","sneeped",TRUE
"s6032","Male",1992,23,"posttest","burnt","sensible","increase",0.678,"trelt","trelled","trelled",TRUE
"s6032","Male",1992,23,"posttest","drove","sensible","increase",0.401,"yode","yided","yode",FALSE
"s6032","Male",1992,23,"posttest","drove","sensible","increase",0.515,"blode","blided","blode",FALSE
"s6032","Male",1992,23,"pretest","drove","sensible","increase",0.574,"bove","beeved","beeved",TRUE
"s6032","Male",1992,23,"posttest","drove","sensible","increase",0.559,"strone","strined","strone",FALSE
"s6032","Male",1992,23,"posttest","burnt","sensible","increase",0.668,"lelt","lelled","lelled",TRUE
"s6032","Male",1992,23,"pretest","kept","sensible","increase",0.525,"flelt","fleeled","fleeled",TRUE
"s6032","Male",1992,23,"posttest","kept","sensible","increase",0.51,"strelt","streeled","streeled",TRUE
"s6032","Male",1992,23,"pretest","sang","sensible","increase",0.634,"schmam","schmimmed","schmimmed",TRUE
"s6032","Male",1992,23,"posttest","kept","sensible","increase",0.562,"grelt","greeled","greeled",TRUE
"s6032","Male",1992,23,"pretest","sang","sensible","increase",0.594,"twank","twinked","twank",FALSE
"s6032","Male",1992,23,"posttest","kept","sensible","increase",0.663,"zemt","zeemed","zeemed",TRUE
"s6032","Male",1992,23,"posttest","drove","sensible","increase",0.599,"gove","geeved","geeved",TRUE
"s6032","Male",1992,23,"pretest","burnt","sensible","increase",0.693,"slilt","slilled","slilt",FALSE
"s6032","Male",1992,23,"posttest","sang","sensible","increase",0.46,"shrang","shringed","shrang",FALSE
"s6032","Male",1992,23,"posttest","sang","sensible","increase",0.639,"mang","minged","mang",FALSE
"s6032","Male",1992,23,"pretest","drove","sensible","increase",0.599,"skrone","skrined","skrined",TRUE
"s6032","Male",1992,23,"posttest","sang","sensible","increase",0.708,"fram","frimmed","frimmed",TRUE
"s6032","Male",1992,23,"posttest","burnt","sensible","increase",0.772,"strilt","strilled","strilled",TRUE
"s6032","Male",1992,23,"posttest","kept","sensible","increase",0.698,"snent","sneened","sneened",TRUE
"s6032","Male",1992,23,"posttest","sang","sensible","increase",0.515,"grang","gringed","grang",FALSE
"s6032","Male",1992,23,"posttest","burnt","sensible","increase",0.559,"twelt","twelled","twelled",TRUE
"s6032","Male",1992,23,"pretest","sang","sensible","increase",0.728,"gam","gimmed","gimmed",TRUE
"s6032","Male",1992,23,"posttest","sang","sensible","increase",0.733,"zam","zimmed","zimmed",TRUE
"s6032","Male",1992,23,"pretest","burnt","sensible","increase",0.688,"sprurnt","sprurned","sprurned",TRUE
"s6032","Male",1992,23,"pretest","sang","sensible","increase",0.579,"smank","sminked","smank",FALSE
"s6032","Male",1992,23,"posttest","burnt","sensible","increase",0.731,"rurnt","rurned","rurned",TRUE
"s6032","Male",1992,23,"posttest","burnt","sensible","increase",0.713,"hurnt","hurned","hurned",TRUE
"s6032","Male",1992,23,"pretest","sang","sensible","increase",0.515,"vrank","vrinked","vrank",FALSE
"s6032","Male",1992,23,"pretest","sang","sensible","increase",0.53,"quang","quinged","quang",FALSE
"s6032","Male",1992,23,"pretest","burnt","sensible","increase",0.668,"skrurnt","skrurned","skrurned",TRUE
"s6032","Male",1992,23,"pretest","drove","sensible","increase",0.436,"thode","thided","thode",FALSE
"s6032","Male",1992,23,"pretest","burnt","sensible","increase",0.723,"murnt","murned","murned",TRUE
"s6032","Male",1992,23,"posttest","drove","sensible","increase",0.47,"quode","quided","quode",FALSE
"s6032","Male",1992,23,"pretest","burnt","sensible","increase",0.639,"zelt","zelled","zelled",TRUE
"s6032","Male",1992,23,"posttest","kept","sensible","increase",0.649,"schmemt","schmeemed","schmeemed",TRUE
"s6032","Male",1992,23,"pretest","kept","sensible","increase",0.554,"klelt","kleeled","klelt",FALSE
"s6032","Male",1992,23,"pretest","kept","sensible","increase",0.718,"strent","streened","strent",FALSE
"s6032","Male",1992,23,"pretest","kept","sensible","increase",0.733,"chemt","cheemed","cheemed",TRUE
"s6032","Male",1992,23,"pretest","burnt","sensible","increase",0.757,"snurnt","snurned","snurned",TRUE
"s6032","Male",1992,23,"posttest","drove","sensible","increase",0.713,"plone","plined","plone",FALSE
"s6032","Male",1992,23,"pretest","kept","sensible","increase",0.663,"nent","neened","nent",FALSE
"s6032","Male",1992,23,"posttest","kept","sensible","increase",0.545,"chelt","cheeled","cheeled",TRUE
"s6032","Male",1992,23,"posttest","drove","sensible","increase",0.49,"slove","slived","slove",FALSE
"s6032","Male",1992,23,"pretest","kept","sensible","increase",0.629,"gremt","greemed","gremt",FALSE
"s6032","Male",1992,23,"pretest","sang","sensible","increase",0.45,"skrank","skrinked","skrank",FALSE
"s6032","Male",1992,23,"pretest","burnt","sensible","increase",0.584,"skelt","skelled","skelt",FALSE
