"X","participant","pretest.reg","gender","yearOfBirth","phase","weak.past","strong.past","category","sensibility","partnerRegRate","partnerRegCondition","item.reg.mean","response","regular"
129,"s6025",0.384615384615385,"Female",1981,"posttest","sninged","snang","sang","sensible",0.385,"no.change",0.455,"snang",FALSE
130,"s6025",0.384615384615385,"Female",1981,"posttest","dwinked","dwank","sang","sensible",0.385,"no.change",0.431,"dwinked",TRUE
131,"s6025",0.384615384615385,"Female",1981,"posttest","rurned","rurnt","burnt","sensible",0.385,"no.change",0.731,"rurned",TRUE
132,"s6025",0.384615384615385,"Female",1981,"posttest","sprelled","sprelt","burnt","sensible",0.385,"no.change",0.629,"sprelt",FALSE
133,"s6025",0.384615384615385,"Female",1981,"posttest","zimmed","zam","sang","sensible",0.385,"no.change",0.733,"zimmed",TRUE
134,"s6025",0.384615384615385,"Female",1981,"posttest","geemed","gemt","kept","sensible",0.385,"no.change",0.693,"geemed",TRUE
135,"s6025",0.384615384615385,"Female",1981,"posttest","gringed","grang","sang","sensible",0.385,"no.change",0.515,"grang",FALSE
136,"s6025",0.384615384615385,"Female",1981,"posttest","frimmed","fram","sang","sensible",0.385,"no.change",0.708,"frimmed",TRUE
137,"s6025",0.384615384615385,"Female",1981,"posttest","cheened","chent","kept","sensible",0.385,"no.change",0.743,"cheened",TRUE
138,"s6025",0.384615384615385,"Female",1981,"posttest","twimmed","twam","sang","sensible",0.385,"no.change",0.54,"twam",FALSE
139,"s6025",0.384615384615385,"Female",1981,"posttest","minged","mang","sang","sensible",0.385,"no.change",0.639,"mang",FALSE
140,"s6025",0.384615384615385,"Female",1981,"posttest","trelled","trelt","burnt","sensible",0.385,"no.change",0.678,"trelled",TRUE
141,"s6025",0.384615384615385,"Female",1981,"posttest","twelled","twelt","burnt","sensible",0.385,"no.change",0.559,"twelt",FALSE
142,"s6025",0.384615384615385,"Female",1981,"posttest","zeemed","zemt","kept","sensible",0.385,"no.change",0.663,"zeemed",TRUE
143,"s6025",0.384615384615385,"Female",1981,"posttest","sweeled","swelt","kept","sensible",0.385,"no.change",0.475,"swelt",FALSE
144,"s6025",0.384615384615385,"Female",1981,"posttest","cheeled","chelt","kept","sensible",0.385,"no.change",0.545,"cheeled",TRUE
145,"s6025",0.384615384615385,"Female",1981,"posttest","lelled","lelt","burnt","sensible",0.385,"no.change",0.668,"lelt",FALSE
146,"s6025",0.384615384615385,"Female",1981,"posttest","yilled","yilt","burnt","sensible",0.385,"no.change",0.718,"yilled",TRUE
147,"s6025",0.384615384615385,"Female",1981,"posttest","vrited","vrote","drove","sensible",0.385,"no.change",0.366,"vrote",FALSE
148,"s6025",0.384615384615385,"Female",1981,"posttest","stelled","stelt","burnt","sensible",0.385,"no.change",0.644,"stelled",TRUE
149,"s6025",0.384615384615385,"Female",1981,"posttest","dreened","drent","kept","sensible",0.385,"no.change",0.634,"dreened",TRUE
150,"s6025",0.384615384615385,"Female",1981,"posttest","strilled","strilt","burnt","sensible",0.385,"no.change",0.772,"strilt",FALSE
151,"s6025",0.384615384615385,"Female",1981,"posttest","thurned","thurnt","burnt","sensible",0.385,"no.change",0.693,"thurned",TRUE
152,"s6025",0.384615384615385,"Female",1981,"posttest","quinked","quank","sang","sensible",0.385,"no.change",0.569,"quank",FALSE
153,"s6025",0.384615384615385,"Female",1981,"posttest","geeved","gove","drove","sensible",0.385,"no.change",0.599,"geeved",TRUE
154,"s6025",0.384615384615385,"Female",1981,"posttest","plined","plone","drove","sensible",0.385,"no.change",0.713,"plined",TRUE
155,"s6025",0.384615384615385,"Female",1981,"posttest","shringed","shrang","sang","sensible",0.385,"no.change",0.46,"shrang",FALSE
156,"s6025",0.384615384615385,"Female",1981,"posttest","slived","slove","drove","sensible",0.385,"no.change",0.49,"slove",FALSE
157,"s6026",0.538461538461538,"Female",1985,"posttest","sneemed","snemt","kept","sensible",0.538,"no.change",0.713,"snemt",FALSE
158,"s6026",0.538461538461538,"Female",1985,"posttest","brived","brove","drove","sensible",0.538,"no.change",0.391,"brove",FALSE
159,"s6026",0.538461538461538,"Female",1985,"posttest","jurned","jurnt","burnt","sensible",0.538,"no.change",0.718,"jurned",TRUE
160,"s6026",0.538461538461538,"Female",1985,"posttest","squided","squode","drove","sensible",0.538,"no.change",0.406,"squode",FALSE
161,"s6026",0.538461538461538,"Female",1985,"posttest","shinged","shang","sang","sensible",0.538,"no.change",0.45,"shinged",TRUE
162,"s6026",0.538461538461538,"Female",1985,"posttest","chited","chote","drove","sensible",0.538,"no.change",0.579,"chote",FALSE
163,"s6026",0.538461538461538,"Female",1985,"posttest","smimmed","smam","sang","sensible",0.538,"no.change",0.579,"smimmed",TRUE
164,"s6026",0.538461538461538,"Female",1985,"posttest","gurned","gurnt","burnt","sensible",0.538,"no.change",0.708,"gurned",TRUE
165,"s6026",0.538461538461538,"Female",1985,"posttest","glilled","glilt","burnt","sensible",0.538,"no.change",0.673,"glilled",TRUE
166,"s6026",0.538461538461538,"Female",1985,"posttest","spinged","spang","sang","sensible",0.538,"no.change",0.401,"spinged",TRUE
167,"s6026",0.538461538461538,"Female",1985,"posttest","klilled","klilt","burnt","sensible",0.538,"no.change",0.693,"klilt",FALSE
168,"s6026",0.538461538461538,"Female",1985,"posttest","glinked","glank","sang","sensible",0.538,"no.change",0.609,"glinked",TRUE
169,"s6026",0.538461538461538,"Female",1985,"posttest","vrilled","vrilt","burnt","sensible",0.538,"no.change",0.772,"vrilled",TRUE
170,"s6026",0.538461538461538,"Female",1985,"posttest","pleeled","plelt","kept","sensible",0.538,"no.change",0.574,"pleeled",TRUE
171,"s6026",0.538461538461538,"Female",1985,"posttest","blurned","blurnt","burnt","sensible",0.538,"no.change",0.639,"blurnt",FALSE
172,"s6026",0.538461538461538,"Female",1985,"posttest","theeled","thelt","kept","sensible",0.538,"no.change",0.495,"thelt",FALSE
173,"s6026",0.538461538461538,"Female",1985,"posttest","strimmed","stram","sang","sensible",0.538,"no.change",0.619,"strimmed",TRUE
174,"s6026",0.538461538461538,"Female",1985,"posttest","squeeped","squept","kept","sensible",0.538,"no.change",0.52,"squeeped",TRUE
175,"s6026",0.538461538461538,"Female",1985,"posttest","twited","twote","drove","sensible",0.538,"no.change",0.446,"twote",FALSE
176,"s6026",0.538461538461538,"Female",1985,"posttest","kleemed","klemt","kept","sensible",0.538,"no.change",0.653,"kleemed",TRUE
177,"s6026",0.538461538461538,"Female",1985,"posttest","chimmed","cham","sang","sensible",0.538,"no.change",0.743,"chimmed",TRUE
178,"s6026",0.538461538461538,"Female",1985,"posttest","breeped","brept","kept","sensible",0.538,"no.change",0.55,"brept",FALSE
179,"s6026",0.538461538461538,"Female",1985,"posttest","zited","zote","drove","sensible",0.538,"no.change",0.54,"zote",FALSE
180,"s6026",0.538461538461538,"Female",1985,"posttest","ninked","nank","sang","sensible",0.538,"no.change",0.647,"ninked",TRUE
181,"s6026",0.538461538461538,"Female",1985,"posttest","skrilled","skrilt","burnt","sensible",0.538,"no.change",0.733,"skrilled",TRUE
182,"s6026",0.538461538461538,"Female",1985,"posttest","slurned","slurnt","burnt","sensible",0.538,"no.change",0.698,"slurned",TRUE
183,"s6026",0.538461538461538,"Female",1985,"posttest","skeened","skent","kept","sensible",0.538,"no.change",0.688,"skent",FALSE
184,"s6026",0.538461538461538,"Female",1985,"posttest","threlled","threlt","burnt","sensible",0.538,"no.change",0.653,"threlt",FALSE
185,"s6026",0.538461538461538,"Female",1985,"posttest","pringed","prang","sang","sensible",0.538,"no.change",0.465,"prang",FALSE
186,"s6026",0.538461538461538,"Female",1985,"posttest","klited","klote","drove","sensible",0.538,"no.change",0.554,"klote",FALSE
187,"s6026",0.538461538461538,"Female",1985,"posttest","theeped","thept","kept","sensible",0.538,"no.change",0.416,"theeped",TRUE
188,"s6026",0.538461538461538,"Female",1985,"posttest","splided","splode","drove","sensible",0.538,"no.change",0.475,"splode",FALSE
189,"s6026",0.538461538461538,"Female",1985,"posttest","skinged","skang","sang","sensible",0.538,"no.change",0.52,"skinged",TRUE
190,"s6026",0.538461538461538,"Female",1985,"posttest","swurned","swurnt","burnt","sensible",0.538,"no.change",0.723,"swurned",TRUE
191,"s6026",0.538461538461538,"Female",1985,"posttest","jeemed","jemt","kept","sensible",0.538,"no.change",0.723,"jeemed",TRUE
192,"s6026",0.538461538461538,"Female",1985,"posttest","squited","squote","drove","sensible",0.538,"no.change",0.505,"squote",FALSE
193,"s6026",0.538461538461538,"Female",1985,"posttest","shreeped","shrept","kept","sensible",0.538,"no.change",0.46,"shrept",FALSE
194,"s6026",0.538461538461538,"Female",1985,"posttest","pited","pote","drove","sensible",0.538,"no.change",0.629,"pote",FALSE
195,"s6026",0.538461538461538,"Female",1985,"posttest","strited","strote","drove","sensible",0.538,"no.change",0.426,"strote",FALSE
