"subject","condition","correct","correctAnswer","experiment","subj.gender","interlocutor","inTraining","phase","promptImage","promptName","selection","targetImage","targetWord1","targetWord2","subj.yob","subject.age","trialNumber"
"s1385","linguistic",TRUE,"rakpak","exp1","Male","female_side",TRUE,"training","chair_large","rak","rakpak","chair_dimin","rakpek","rakpak",1978,36,13
"s1385","linguistic",FALSE,"fanpak","exp1","Male","female",TRUE,"training","fox_large_male","fan","fanpek","fox_dimin","fanpek","fanpak",1978,36,14
"s1385","linguistic",TRUE,"rakpak","exp1","Male","female_side",TRUE,"training","chair_large","rak","rakpak","chair_dimin","rakpek","rakpak",1978,36,15
"s1385","linguistic",TRUE,"fanpak","exp1","Male","female",TRUE,"training","fox_large_male","fan","fanpak","fox_dimin","fanpek","fanpak",1978,36,16
"s1385","linguistic",FALSE,"fanpak","exp1","Male","male_side",TRUE,"training","fox_large_male","fan","fanpek","fox_dimin","fanpek","fanpak",1978,36,17
"s1385","linguistic",TRUE,"fanpak","exp1","Male","female",TRUE,"training","fox_large_male","fan","fanpak","fox_dimin","fanpek","fanpak",1978,36,18
"s1385","linguistic",TRUE,"fanpak","exp1","Male","male_side",TRUE,"training","fox_large_male","fan","fanpak","fox_dimin","fanpek","fanpak",1978,36,19
"s1385","linguistic",FALSE,"fekpek","exp1","Male","male",TRUE,"training","gate_large","fek","fekpak","gate_dimin","fekpek","fekpak",1978,36,20
"s1385","linguistic",TRUE,"fanpak","exp1","Male","male_side",TRUE,"training","fox_large_male","fan","fanpak","fox_dimin","fanpek","fanpak",1978,36,21
"s1385","linguistic",TRUE,"fekpek","exp1","Male","male",TRUE,"training","gate_large","fek","fekpek","gate_dimin","fekpek","fekpak",1978,36,22
"s1385","linguistic",TRUE,"ralpak","exp1","Male","female_side",TRUE,"training","mushroom_large","ral","ralpak","mushroom_dimin","ralpek","ralpak",1978,36,23
"s1385","linguistic",TRUE,"ralpak","exp1","Male","male",TRUE,"training","mushroom_large","ral","ralpak","mushroom_dimin","ralpek","ralpak",1978,36,24
"s1385","linguistic",TRUE,"ralpak","exp1","Male","female",TRUE,"training","mushroom_large","ral","ralpak","mushroom_dimin","ralpek","ralpak",1978,36,25
"s1385","linguistic",TRUE,"wenpek","exp1","Male","female_side",TRUE,"training","chair_large","wen","wenpek","chair_dimin","wenpek","wenpak",1978,36,26
"s1385","linguistic",FALSE,"rakpak","exp1","Male","male",TRUE,"training","chair_large","rak","rakpek","chair_dimin","rakpek","rakpak",1978,36,27
"s1385","linguistic",TRUE,"wenpek","exp1","Male","female_side",TRUE,"training","chair_large","wen","wenpek","chair_dimin","wenpek","wenpak",1978,36,28
"s1385","linguistic",TRUE,"rakpak","exp1","Male","male",TRUE,"training","chair_large","rak","rakpak","chair_dimin","rakpek","rakpak",1978,36,29
"s1385","linguistic",TRUE,"ralpak","exp1","Male","male_side",TRUE,"training","mushroom_large","ral","ralpak","mushroom_dimin","ralpek","ralpak",1978,36,30
"s1385","linguistic",TRUE,"wekpek","exp1","Male","male",TRUE,"training","fox_large_male","wek","wekpek","fox_dimin","wekpek","wekpak",1978,36,31
